Year,FIPSStateCode,FIPSCountyCode,Income,Rate,IncRat,Purpose,LTV,First,BoRace,BoGender,BoAge,Occup,Amount,PropType,BoCreditScore
2018,24,21,146196,0.04,1.3254,1,1.03,1,7,2,41,1,464782,PT07,4
2018,24,17,156972,0.0375,1.4231,1,1.0,1,3,1,61,1,495000,PT07,4
2018,51,153,337464,0.0388,3.0595,2,0.99,2,3,1,55,1,665287,PT07,5
2018,51,59,132000,0.0375,1.1967,1,1.03,1,2,1,27,1,490320,PT07,5
2018,24,5,29376,0.0375,0.3225,1,0.99,1,3,1,22,1,97206,PT01,4
2018,24,5,45792,0.0375,0.5027,1,0.99,1,7,2,27,1,157102,PT01,2
2018,51,199,69648,0.0388,0.9541,1,1.03,1,7,3,40,1,245150,PT07,4
2018,1,33,42804,0.04,0.8001,1,0.99,2,5,1,26,1,87387,PT01,2
2018,45,67,87804,0.0388,1.9129,1,1.03,2,3,1,48,1,81720,PT04,3
2018,45,41,92700,0.045,1.6038,1,0.99,1,3,1,42,1,279837,PT01,2
2018,45,55,69480,0.0375,1.037,1,1.0,1,5,1,29,1,166666,PT01,3
2018,45,41,107796,0.045,1.865,1,0.99,1,5,1,45,1,261182,PT07,2
2018,8,123,173568,0.0375,2.2928,1,0.95,2,5,1,58,1,518525,PT01,5
2018,51,117,51996,0.0425,0.9755,1,0.97,2,7,2,30,1,142424,PT01,3
2018,45,35,116760,0.0375,1.6971,1,1.04,2,5,1,70,1,241722,PT07,3
2018,42,133,69000,0.0375,0.9746,1,0.99,1,7,3,61,1,214051,PT01,2
2018,24,510,30156,0.0375,0.331,1,0.99,1,3,2,24,1,122637,PT01,2
2018,24,3,125004,0.0375,1.3172,1,0.99,1,3,1,45,1,409937,PT07,5
2018,51,87,70008,0.0375,0.8896,1,1.03,1,5,1,33,1,258439,PT01,5
2018,45,15,99996,0.0388,1.4534,1,1.04,1,5,1,35,1,253462,PT07,4
2018,51,69,111132,0.0363,1.6319,2,0.39,2,5,1,63,1,171352,PT01,5
2018,13,29,58308,0.0363,0.8984,2,0.82,2,5,1,46,1,118795,PT01,5
2018,12,9,100476,0.0363,1.6285,2,0.92,2,2,2,62,1,132142,PT07,5
2018,66,10,123300,0.0425,2.1901,1,1.03,2,4,1,45,1,490320,PT01,3
2018,72,69,30228,0.0375,1.32,1,0.56,2,5,2,58,1,106000,PT07,5
2018,12,57,111804,0.0375,1.8696,1,1.0,2,7,2,56,1,402500,PT11,4
2018,48,3,101400,0.0375,1.1887,1,1.04,2,5,1,43,1,304735,PT01,4
2018,21,199,128484,0.0375,2.6009,1,1.0,2,5,2,56,1,309500,PT01,5
2018,51,59,64680,0.0375,0.5864,2,0.15,2,3,1,67,1,80000,PT07,4
2018,24,33,30396,0.0375,0.2594,2,0.73,2,1,2,77,1,196000,PT01,3
2018,53,61,66504,0.0375,0.6928,1,1.0,1,5,1,82,1,323000,PT01,3
2018,37,119,149388,0.0375,2.113,1,1.0,1,3,1,50,1,233000,PT07,4
2018,51,59,218268,0.0325,1.9789,2,0.48,2,5,1,61,1,216500,PT01,3
2018,12,95,142236,0.0338,2.4355,2,0.97,2,5,1,51,1,361500,PT07,4
2018,24,33,277632,0.0325,2.5171,2,0.8,2,7,1,71,1,272800,PT07,5
2018,51,153,115956,0.0325,1.0513,2,0.14,2,3,1,63,1,47518,PT01,5
2018,48,27,171984,0.0325,2.915,2,0.74,2,5,1,50,1,220000,PT01,5
2018,26,65,114996,0.0363,1.6837,1,1.03,2,5,1,38,1,183767,PT11,5
2018,66,10,84168,0.0363,1.495,1,1.04,1,3,1,54,1,246887,PT07,3
2018,51,103,185400,0.0363,2.8176,1,0.97,2,3,1,72,1,350000,PT07,5
2018,51,59,84624,0.0375,0.7672,2,0.76,2,5,1,71,1,309900,PT01,5
2018,72,107,28548,0.0375,1.3217,1,1.03,1,5,1,29,1,153225,PT01,4
2018,11,1,45876,0.0375,0.4159,2,0.7,2,7,2,60,1,389000,PT11,3
2018,13,117,75900,0.0375,1.089,2,0.83,2,5,1,72,1,280000,PT01,5
2018,66,10,47784,0.0375,0.8487,2,0.95,2,2,1,44,1,214515,PT01,4
2018,51,139,159876,0.0375,2.9995,1,1.0,1,3,1,53,1,270000,PT01,5
2018,27,123,145488,0.0388,1.6094,2,1.0,2,5,1,44,1,285000,PT01,3
2018,66,10,99636,0.0375,1.7697,1,1.01,2,7,3,41,1,350142,PT01,5
2018,10,1,173652,0.0375,2.6716,1,1.0,1,3,1,70,1,356741,PT07,5
2018,66,10,121536,0.0375,2.1587,1,0.93,2,4,1,46,1,417165,PT01,4
2018,24,33,116904,0.04,1.0599,2,0.86,2,7,2,57,1,310933,PT07,4
2018,12,57,166272,0.04,2.7805,2,1.01,2,5,1,53,1,361550,PT07,3
2018,18,89,110028,0.0375,1.3928,1,0.98,2,3,1,55,1,349984,PT07,4
2018,66,10,84192,0.0375,1.4126,1,1.03,2,4,2,43,1,329560,PT01,1
2018,66,10,75792,0.0375,1.3462,1,1.03,1,2,1,21,1,291127,PT01,3
2018,17,31,174060,0.04,2.2033,1,0.82,1,5,1,35,1,276080,PT01,5
2018,72,97,43992,0.0325,1.8641,1,1.0,1,5,1,43,1,45000,PT01,2
2018,66,10,172044,0.0325,3.0558,2,0.51,2,5,1,58,1,150750,PT01,5
2018,47,37,123804,0.0325,1.8021,2,0.66,2,7,1,63,1,220000,PT01,4
2018,51,153,119508,0.0325,1.0835,2,0.72,2,5,1,69,1,298537,PT07,4
2018,72,113,64128,0.0325,2.8757,1,1.0,2,5,1,56,1,268000,PT01,5
2018,66,10,176352,0.0338,3.1324,1,1.04,2,7,2,29,1,475180,PT01,5
2018,42,1,41028,0.0375,0.5478,2,0.85,2,5,2,58,1,164326,PT01,2
