Year,FIPSStateCode,FIPSCountyCode,Income,Rate,IncRat,Purpose,LTV,First,BoRace,BoGender,BoAge,Occup,Amount,PropType,BoCreditScore
2017,72,15,60588,0.0288,3.2928,2,0.89,2,7,1,70,1,75000,PT01,5
2017,66,10,210264,0.0325,4.0513,2,0.94,2,5,1,60,1,520000,PT01,5
2017,66,10,114744,0.0325,2.2109,1,1.04,2,7,1,36,1,429831,PT01,5
2017,48,439,164988,0.0338,2.3403,2,0.75,2,3,1,55,1,251800,PT07,4
2017,6,99,56160,0.0325,1.0537,2,0.85,2,5,1,48,1,290613,PT01,3
2017,39,95,115764,0.0325,1.8762,2,0.98,2,5,1,55,1,103000,PT01,3
2017,35,25,94548,0.0325,1.9535,2,1.0,2,5,1,68,1,190000,PT01,4
2017,24,13,221592,0.0338,2.4731,2,0.96,2,5,1,52,1,381000,PT01,4
2017,42,91,113568,0.0325,1.1402,2,1.0,2,5,1,41,1,233000,PT07,4
2017,17,133,68004,0.0325,0.9419,1,1.0,2,5,2,45,1,257648,PT07,5
2017,5,125,114852,0.0338,1.8115,2,0.67,2,7,1,73,1,211500,PT07,5
2017,55,79,87816,0.0338,1.198,2,0.81,2,5,1,47,1,222000,PT01,5
2017,13,215,43128,0.0338,0.741,1,1.03,1,3,2,53,1,141988,PT01,3
2017,51,137,81684,0.0338,1.55,1,1.0,2,5,1,79,1,254900,PT07,5
2017,20,91,69276,0.0325,0.9274,2,0.77,2,5,1,67,1,173250,PT01,5
2017,48,113,90060,0.0338,1.2774,1,1.0,1,3,1,52,1,165000,PT01,4
2017,51,59,183108,0.0338,1.6737,1,1.0,2,5,2,52,1,278000,PT11,5
2017,12,71,139464,0.0325,2.4213,2,0.57,2,5,1,68,1,314000,PT01,5
2017,48,29,155292,0.0325,2.4494,2,0.71,2,5,1,65,1,411100,PT01,5
2017,32,3,183264,0.0325,3.0957,1,0.96,2,5,1,52,1,391706,PT07,4
2017,22,103,61908,0.0325,0.9827,2,0.56,2,7,1,66,1,144000,PT01,5
2017,41,5,59556,0.0325,0.8059,2,0.84,2,5,2,59,1,350000,PT01,5
2017,13,73,95940,0.0338,1.6179,2,0.88,2,3,1,53,1,131500,PT01,2
2017,45,25,76800,0.0338,1.6552,1,1.03,2,5,1,38,1,249246,PT01,4
2017,24,3,127464,0.0338,1.4226,1,1.03,1,5,1,64,1,312579,PT01,4
2017,6,81,129144,0.0325,1.3328,2,0.36,2,7,1,66,1,358000,PT01,5
2017,47,157,25224,0.0338,0.4176,2,0.51,2,5,1,79,1,105000,PT11,5
2017,48,157,104868,0.0325,1.496,2,0.42,2,5,1,42,1,175000,PT07,5
2017,34,23,68832,0.0338,0.9654,2,0.8,2,2,1,40,1,179200,PT01,4
2017,51,610,93864,0.0338,0.858,2,0.14,2,7,1,80,1,85540,PT11,5
2017,47,125,99840,0.0325,1.8022,2,0.84,2,5,2,49,1,417000,PT07,5
2017,1,89,111336,0.0338,1.4845,1,1.01,1,7,1,54,1,322232,PT07,5
2017,51,61,195156,0.0338,1.7839,2,0.75,2,5,1,64,1,297000,PT01,5
2017,55,9,30480,0.0325,0.445,1,1.03,2,5,1,66,1,121558,PT01,5
2017,4,19,83712,0.0338,1.4188,1,1.03,2,3,2,47,1,172544,PT07,4
2017,13,233,22344,0.0338,0.4674,1,1.04,2,5,1,71,1,95036,PT01,3
2017,1,113,64140,0.0325,1.1021,1,1.03,1,5,2,32,1,203278,PT01,5
2017,47,149,74724,0.0325,1.1136,2,0.91,2,5,1,27,1,140000,PT01,4
2017,6,59,132036,0.0338,1.5371,2,0.57,2,5,1,51,1,282000,PT01,5
2017,12,9,66288,0.0325,1.0709,1,0.81,2,7,1,61,1,148230,PT01,5
2017,42,95,152112,0.0338,2.1364,1,1.0,1,4,1,52,1,262000,PT01,5
2017,32,31,36132,0.0338,0.569,2,0.42,2,5,1,69,1,135500,PT01,5
2017,12,71,45828,0.0325,0.7956,2,0.84,2,5,1,69,1,133500,PT01,2
2017,37,57,80016,0.0338,1.3403,1,0.99,2,3,1,57,1,384200,PT01,5
2017,51,153,64500,0.0338,0.5896,2,0.98,2,7,1,59,1,229000,PT07,5
2017,48,29,69024,0.035,1.0887,1,1.0,1,3,2,42,1,179000,PT07,4
2017,35,1,111996,0.0375,1.8855,2,1.0,2,7,1,72,1,380000,PT01,3
2017,12,83,61296,0.0375,1.2959,1,1.0,2,5,1,58,1,270000,PT07,5
2017,1,69,142248,0.0375,2.6539,2,0.91,2,7,1,49,1,387000,PT01,5
2017,12,101,119160,0.0375,2.0197,1,0.86,2,5,1,58,1,367000,PT07,5
2017,51,149,86196,0.0375,1.1108,2,0.66,2,5,2,53,1,166000,PT01,5
2017,6,67,82776,0.0375,1.1577,1,1.03,1,5,2,48,1,372847,PT01,5
2017,37,183,77556,0.0375,0.9842,1,0.97,2,7,1,43,1,271918,PT01,4
2017,4,13,85260,0.0375,1.3322,2,0.93,2,5,1,69,1,288000,PT07,5
2017,20,173,125496,0.0375,1.89,1,0.97,2,7,1,49,1,293060,PT07,3
2017,54,37,96888,0.0375,0.8856,1,1.0,2,5,1,44,1,187000,PT07,5
2017,12,105,98436,0.0375,1.9569999999999999,1,1.0,1,7,1,61,1,358130,PT07,5
2017,51,59,136632,0.0375,1.2489,2,0.7,2,5,1,71,1,400000,PT01,5
2017,26,163,76884,0.0375,1.4317,1,1.04,2,5,1,76,1,253085,PT01,5
2017,28,73,89520,0.0375,1.9252,1,1.03,1,7,1,45,1,243843,PT07,3
2017,51,13,96756,0.0375,0.8844,1,0.91,2,2,1,26,1,328450,PT11,4
2017,12,127,46572,0.0375,0.9043,1,1.0,1,5,1,66,1,113000,PT01,4
2017,24,510,75684,0.0375,0.8447,1,1.0,1,5,1,24,1,335000,PT01,5
2017,17,43,218460,0.0275,2.8116,2,0.83,2,3,1,36,1,279600,PT01,5
2017,18,43,111420,0.0275,1.7037,2,0.83,2,5,1,70,1,240000,PT01,3
2017,8,5,177060,0.0275,2.2159999999999997,2,0.42,2,3,1,53,1,165000,PT07,5
2017,32,3,136128,0.0275,2.2995,2,0.69,2,5,1,46,1,200000,PT07,4
2017,51,3,169032,0.0288,2.092,2,0.35,2,5,1,53,1,391400,PT01,5
2017,47,35,85524,0.0275,1.7892,2,0.45,2,5,1,62,1,164700,PT07,5
2017,37,51,135876,0.0275,2.5023,2,0.9,2,3,2,50,1,272826,PT01,5
2017,48,201,91668,0.0275,1.3077,1,1.0,2,5,2,28,1,130000,PT07,5
2017,12,95,162708,0.0288,2.7909,2,0.77,2,7,3,52,1,250000,PT01,5
2017,17,173,64452,0.0288,1.0724,2,1.04,2,5,1,56,1,72310,PT01,4
2017,37,51,99228,0.0275,1.8274,1,1.03,2,5,1,51,1,236988,PT01,5
2017,35,35,88116,0.0275,1.8206,2,0.77,2,2,1,48,1,163000,PT01,5
2017,28,49,145056,0.0275,2.4838,2,0.98,2,3,2,58,1,175000,PT04,4
2017,51,59,248640,0.0275,2.2728,2,0.61,2,5,1,57,1,360500,PT01,5
2017,12,95,78288,0.0275,1.3428,2,0.65,2,5,1,52,1,120000,PT07,2
2017,48,439,114936,0.0288,1.6303,2,0.69,2,3,1,48,3,109275,PT07,4
2017,4,3,217908,0.0288,4.0428,2,0.93,2,5,1,59,1,232000,PT01,5
2017,1,81,150288,0.0275,2.2232,2,0.95,2,7,2,45,1,166000,PT07,5
2017,55,69,40296,0.035,0.6552,1,1.04,2,5,1,52,1,103300,PT01,4
2017,37,51,72936,0.0325,1.3432,2,1.0,2,7,1,51,1,380000,PT01,4
2017,53,53,214188,0.0363,3.0167,1,0.85,2,5,1,55,1,312786,PT01,5
2017,15,3,52356,0.0325,0.6025,2,0.3,2,2,1,64,1,252000,PT01,5
2017,40,79,79848,0.0325,1.6098,2,0.84,2,5,1,59,1,235000,PT01,4
2017,12,27,107160,0.0388,2.2325,2,0.84,2,5,1,76,1,205000,PT01,5
2017,12,33,19860,0.0388,0.3137,2,0.36,2,5,1,60,1,52662,PT01,5
2017,13,135,69168,0.0375,0.9783,1,1.0,2,5,1,79,1,267952,PT07,5
2017,34,37,330144,0.0375,3.3723,1,1.0,1,5,1,53,1,390000,PT01,4
2017,13,185,68040,0.0375,1.35,1,1.0,1,3,1,75,1,103000,PT01,5
2017,39,127,71424,0.0388,1.006,1,1.03,2,5,1,47,1,188977,PT01,5
2017,48,113,162036,0.0375,2.2984,1,1.0,1,7,2,32,1,339990,PT07,4
