Year,FIPSStateCode,FIPSCountyCode,Income,Rate,IncRat,Purpose,LTV,First,BoRace,BoGender,BoAge,Occup,Amount,PropType,BoCreditScore
2012,6,1,150000,0.0425,1.6043,2,0.62,2,5,1,41,1,440000,PT01,4
2012,6,1,281196,0.04,3.0074,2,0.57,2,5,1,47,1,606000,PT01,5
2012,6,1,160476,0.0425,1.7163,2,0.51,2,5,1,46,1,581000,PT01,5
2012,6,1,700706,0.04,7.4942,2,0.49,2,7,1,47,1,625500,PT01,5
2012,6,1,123636,0.04,1.3223,1,0.6,1,5,1,35,1,525000,PT01,4
2012,6,1,297109,0.0388,3.1776,2,0.51,2,5,2,52,1,620000,PT07,5
2012,6,1,185040,0.04,1.979,1,0.57,2,5,1,51,1,625500,PT01,5
2012,6,1,221500,0.0388,2.369,2,0.58,2,5,1,34,1,625500,PT01,4
2012,6,1,232574,0.04,2.4874,1,0.59,2,7,1,65,1,502000,PT01,5
2012,6,1,254106,0.04,2.7177,2,0.65,2,7,1,44,1,545000,PT07,5
2012,6,1,286444,0.0413,3.0636,2,0.52,2,5,1,68,1,572000,PT01,5
2012,6,1,228697,0.04,2.4459999999999997,2,0.28,2,7,1,57,1,575000,PT01,5
2012,6,1,325856,0.0413,3.4851,2,0.36,2,7,1,37,1,625500,PT01,4
2012,6,1,156399,0.04,1.6727,2,0.53,2,7,1,72,1,592000,PT01,4
2012,6,13,191474,0.0425,2.0479,2,0.6,2,5,1,46,1,478000,PT07,5
2012,6,13,148667,0.0425,1.59,2,0.34,2,5,2,50,1,473000,PT07,5
2012,6,13,274170,0.0438,2.9323,2,0.39,2,5,1,53,1,520000,PT07,5
2012,6,13,154000,0.0413,1.6471,2,0.6,2,7,1,46,1,597500,PT07,4
2012,6,13,185224,0.04,1.9809999999999999,2,0.48,2,5,1,48,1,625000,PT07,5
2012,6,13,281073,0.0438,3.0061,2,0.57,2,5,1,59,1,476000,PT01,5
2012,6,13,160000,0.0425,1.7112,2,0.63,2,5,1,53,1,450000,PT07,5
2012,6,13,611256,0.0338,6.5375,2,0.48,2,5,1,46,1,625500,PT07,5
2012,6,13,108435,0.0438,1.1597,2,0.62,2,7,2,63,1,557500,PT07,4
2012,6,13,554988,0.04,5.9357,2,0.53,2,7,3,60,1,565000,PT07,5
2012,6,13,143100,0.0413,1.5305,2,0.65,2,7,1,43,1,485500,PT07,5
2012,6,13,178512,0.0425,1.9092,2,0.48,2,5,2,46,1,563000,PT01,5
2012,6,13,225756,0.0413,2.4145,2,0.42,2,5,1,67,1,544000,PT01,5
2012,6,13,537660,0.0413,5.7504,2,0.43,2,5,1,55,1,522000,PT07,4
2012,6,13,171661,0.04,1.8359,1,0.4,1,2,2,41,1,500000,PT01,5
2012,6,13,163199,0.0425,1.7454,2,0.62,2,7,1,43,1,613000,PT01,5
2012,6,13,324152,0.0413,3.4669,1,0.51,1,5,1,39,1,625500,PT07,3
2012,6,13,230340,0.0413,2.4635,2,0.45,2,7,1,51,1,536200,PT07,5
2012,6,13,211177,0.0413,2.2586,2,0.48,2,7,1,48,1,452000,PT01,5
2012,6,13,163440,0.0425,1.7480000000000002,2,0.5,2,7,1,38,1,610000,PT01,5
2012,6,37,290004,0.0413,4.4754,2,0.33,2,5,1,45,1,469608,PT01,5
2012,6,37,382500,0.04,5.9028,2,0.26,2,5,1,62,1,499300,PT01,5
2012,6,37,123508,0.0425,1.906,2,0.63,2,2,1,33,1,624000,PT01,5
2012,6,37,140000,0.0413,2.1605,2,0.44,2,5,1,49,1,500000,PT01,5
2012,6,37,254862,0.0413,3.9331,2,0.6,2,2,1,39,1,600000,PT11,5
