Year,FIPSStateCode,FIPSCountyCode,Income,Rate,IncRat,Purpose,LTV,First,BoRace,BoGender,BoAge,Occup,Amount,PropType,BoCreditScore
2011,4,13,95004,0.0463,1.4504,1,0.9478,2,5,2,40,1,89000,PT01,5
2011,6,1,156540,0.0413,1.696,2,0.58,2,5,1,57,1,434000,PT07,5
2011,6,1,399916,0.0413,4.3328,2,0.49,2,5,1,44,1,625500,PT01,5
2011,6,1,247104,0.0425,2.6772,2,0.63,2,7,1,38,1,625500,PT01,5
2011,6,1,190764,0.045,2.0668,2,0.52,2,5,1,46,1,445000,PT01,5
2011,6,1,161323,0.0425,1.7478,2,0.34,2,5,2,47,1,625500,PT01,4
2011,6,13,343008,0.045,3.7162,2,0.54,2,5,1,48,1,600000,PT01,4
2011,6,13,199404,0.0425,2.1604,2,0.62,2,5,1,50,1,524500,PT07,5
2011,6,13,312504,0.0438,3.3857,2,0.46,2,5,1,52,1,598400,PT01,5
2011,6,13,256873,0.0438,2.783,2,0.51,2,7,2,54,1,480100,PT07,5
2011,6,13,248696,0.04,2.6944,2,0.54,2,7,1,38,1,518000,PT01,5
2011,6,13,285828,0.0413,3.0967,2,0.59,2,5,1,46,1,614500,PT01,5
2011,6,13,205668,0.0388,2.2283,2,0.51,2,5,1,66,1,558000,PT01,5
2011,6,13,201624,0.0413,2.1844,2,0.61,2,5,1,39,1,592000,PT01,5
2011,6,37,268684,0.0438,4.1982,2,0.51,2,5,2,51,1,484000,PT01,4
2011,6,37,540264,0.0438,8.4416,2,0.37,2,5,1,50,1,503000,PT01,5
2011,6,37,94420,0.0475,1.4753,2,0.8,2,5,1,41,1,476000,PT01,5
2011,6,37,213802,0.0438,3.3407,2,0.41,2,5,1,47,1,500000,PT01,5
2011,6,37,180250,0.0438,2.8164,2,0.46,2,5,1,49,1,529500,PT01,5
2011,6,37,438006,0.0488,6.8438,1,0.6966,1,5,1,35,1,513750,PT11,5
2011,6,41,178615,0.0438,1.758,2,0.23,2,7,1,49,1,503000,PT07,5
2011,6,75,142200,0.0438,1.3996,2,0.64,2,5,2,53,1,467000,PT01,5
2011,6,81,185004,0.045,1.8209,2,0.45,2,5,1,39,1,589000,PT01,5
2011,6,81,173580,0.045,1.7085,2,0.5,2,7,1,70,1,625000,PT01,5
2011,6,85,210000,0.0438,2.0269999999999997,2,0.54,2,7,1,43,1,439000,PT01,5
2011,6,85,183336,0.0463,1.7697,2,0.4,2,5,1,44,1,561000,PT01,5
2011,6,85,213240,0.0413,2.0583,2,0.56,2,5,1,59,1,551000,PT01,5
2011,6,85,189294,0.0438,1.8272,2,0.47,2,5,1,44,1,625500,PT01,4
2011,9,1,190644,0.0425,1.8105,2,0.95,2,5,1,38,1,342000,PT01,5
2011,9,1,98400,0.0513,0.9345,1,0.68,2,5,1,60,1,400000,PT01,5
2011,9,1,157140,0.0488,1.4923,1,0.8,2,2,1,29,1,368000,PT11,3
