,Year,FIPSStateCode,FIPSCountyCode,Income,Rate,IncRat,Purpose,LTV,First,BoRace,BoGender,BoAge,Occup,Amount,PropType,BoCreditScore
37263,2009,54,83,31713,0.055,0.7716,2,0.53,2,5,2,39,1,67800,PT01,5
37264,2009,42,39,102960,0.0525,1.9992,1,0.8,2,5,1,58,1,96000,PT01,5
37265,2009,51,650,58802,0.0588,0.9033,2,0.85,2,5,1,41,1,155677,PT01,2
37266,2009,24,5,45692,0.055,0.5843,1,0.965,1,5,2,22,1,164957,PT01,3
37267,2009,27,171,103400,0.045,1.2781,2,0.723,2,5,1,28,1,188000,PT01,5
37268,2009,19,59,39352,0.05,0.7356,2,0.6696,2,5,1,42,1,77000,PT01,4
37269,2009,39,49,95292,0.0463,1.4593,2,0.41,2,2,1,50,1,103500,PT01,5
37270,2009,21,117,40860,0.0463,0.6172,2,0.58,2,5,1,39,1,69300,PT01,5
37271,2009,18,57,79992,0.0488,1.2288,2,0.52,2,5,1,45,1,145000,PT01,5
37272,2009,39,25,130836,0.0488,1.9764,2,0.75,2,5,1,51,1,168750,PT01,5
37273,2009,39,61,78168,0.0488,1.1808,2,0.79,2,2,1,29,1,115700,PT01,5
37274,2009,39,61,38748,0.0488,0.5853,2,0.59,2,5,1,28,1,83000,PT01,5
37275,2009,39,23,83448,0.0575,1.5312,2,0.94,2,5,1,38,1,218762,PT01,4
37276,2009,39,113,101148,0.0488,1.6914,2,0.59,2,5,1,49,1,82000,PT01,5
37277,2009,39,113,65772,0.0475,1.0999,2,0.44,2,5,1,42,1,52200,PT01,4
37278,2009,39,165,97452,0.0463,1.4721,2,0.51,2,5,1,55,1,79000,PT01,5
37279,2009,39,165,106533,0.05,1.6093,2,0.41,2,5,1,60,1,125000,PT01,5
37280,2009,27,31,88922,0.0475,1.5683,2,0.7359,2,5,1,46,2,235500,PT01,5
37281,2009,29,71,41150,0.0488,0.6331,2,0.74,2,5,2,99,1,137400,PT01,4
37282,2009,29,71,85420,0.0488,1.3142,2,0.8,2,5,1,99,1,102500,PT01,4
37283,2009,29,71,101455,0.0463,1.5608,2,0.72,2,5,1,99,1,192500,PT01,5
37284,2009,27,137,198240,0.045,3.3657,2,0.5375,2,7,1,45,1,215000,PT01,5
37285,2009,27,137,114336,0.0475,1.9412,2,0.7692,2,5,1,49,1,250000,PT01,5
37286,2009,19,119,87156,0.0475,1.6291,2,0.48,2,5,1,99,1,120000,PT01,5
37287,2009,19,103,43836,0.0488,0.6456,2,0.7992,2,5,1,51,1,97500,PT01,4
37288,2009,31,119,51216,0.0475,0.9887,1,0.95,1,5,1,34,1,118750,PT01,5
37289,2009,20,51,194184,0.0488,3.8759,2,0.77,2,5,1,99,1,268000,PT01,5
37290,2009,20,51,119496,0.0488,2.3851,2,0.95,2,5,1,57,1,182000,PT01,4
37291,2009,20,113,94317,0.045,1.8826,2,0.7979999999999999,2,5,1,60,1,162000,PT01,5
37292,2009,40,31,112990,0.0513,2.3491,1,0.8948,2,5,1,48,1,192375,PT01,4
37293,2009,40,35,102996,0.0488,2.3408,2,0.8,2,5,1,50,1,76000,PT01,4
37294,2009,8,1,156826,0.0488,2.1842,2,0.7789,2,5,1,39,1,296000,PT12,4
37295,2009,20,45,368280,0.045,5.7815,2,0.12,2,5,2,66,1,92400,PT01,5
37296,2009,31,43,29004,0.0488,0.5217,1,0.9,2,5,1,51,1,74250,PT01,3
37297,2009,31,141,86160,0.05,1.6633,2,0.4063,2,5,1,99,1,65000,PT01,5
37298,2009,31,153,103188,0.045,1.5378,2,0.7048,2,5,1,35,1,148000,PT01,5
37299,2009,20,117,57217,0.05,1.1421,2,0.8,2,5,1,99,1,65600,PT01,5
37300,2009,21,117,131653,0.045,1.9887,2,0.45,2,5,1,42,1,126400,PT01,5
37301,2009,39,25,193270,0.0488,2.9195,2,0.7,2,5,1,58,1,381500,PT01,5
37302,2009,39,61,164463,0.045,2.4843,2,0.75,2,5,1,39,1,240000,PT01,5
37303,2009,39,61,158679,0.045,2.397,2,0.3,2,5,1,48,1,63000,PT01,5
37304,2009,39,61,97007,0.045,1.4654,2,0.54,2,5,1,40,1,133000,PT01,5
37305,2009,39,25,128568,0.0463,1.9421,2,0.4,2,5,1,57,1,100754,PT01,5
37306,2009,21,117,36492,0.0463,0.5512,2,0.8,2,5,1,24,1,55466,PT01,4
37307,2009,21,117,48144,0.0463,0.7273,2,0.8,2,5,1,80,1,144000,PT01,5
37308,2009,21,117,133488,0.0463,2.0164,2,0.79,2,5,1,39,1,258102,PT01,4
37309,2009,39,61,1214436,0.0488,18.345,2,0.69,2,5,2,37,1,154000,PT01,3
37310,2009,39,113,82392,0.05,1.3778,2,0.7,2,5,1,36,1,183250,PT01,5
37311,2009,39,165,115800,0.045,1.7492,2,0.32,2,2,1,39,1,100000,PT01,5
37312,2009,39,25,150000,0.045,2.2659,2,0.33,2,5,1,54,1,141000,PT01,5
37313,2009,20,177,63700,0.0563,1.0759999999999998,1,0.9,2,5,1,31,1,66960,PT12,4
37314,2009,40,137,62920,0.0588,1.43,1,0.965,1,5,2,25,1,142378,PT01,1
37315,2009,20,37,42000,0.0563,0.8383,2,0.77,2,5,1,49,1,84000,PT01,5
37316,2009,8,87,89076,0.0525,1.6557,1,0.8,2,5,2,99,1,109600,PT01,5
37317,2009,20,91,152220,0.055,2.2451,2,0.8,2,5,1,37,1,180000,PT02,4
37318,2009,31,153,106205,0.0463,1.5828,2,0.5952,2,5,1,99,1,100000,PT01,5
37319,2009,20,91,51500,0.0475,0.7596,2,0.8,2,5,1,57,1,157600,PT02,4
37320,2009,37,21,45992,0.055,0.8759999999999999,1,0.75,1,5,1,23,1,183750,PT01,4
37321,2009,20,173,124908,0.0538,2.1064,1,0.9121,2,5,1,36,1,305250,PT01,3
37322,2009,21,117,153168,0.045,2.3137,2,0.69,2,5,1,52,1,200000,PT01,4
37323,2009,21,117,68652,0.045,1.037,2,0.75,2,5,2,53,1,135000,PT01,5
37324,2009,21,117,156400,0.0475,2.3625,2,0.76,2,7,1,50,1,204000,PT01,5
37325,2009,39,15,139880,0.045,2.113,2,0.8,2,5,1,50,1,176000,PT01,4
37326,2009,39,165,86500,0.045,1.3066,2,0.31,2,5,2,59,1,131000,PT01,5
37327,2009,21,15,123048,0.045,1.8587,2,0.67,2,7,3,45,1,211000,PT01,5
37328,2009,21,67,60276,0.05,0.9492,2,0.57,2,5,1,60,1,130000,PT01,5
37329,2009,39,165,148356,0.045,2.241,2,0.53,2,7,2,36,1,146000,PT01,5
37330,2009,21,67,71118,0.0513,1.12,2,0.7,2,5,2,66,1,88000,PT01,5
37331,2009,39,61,56222,0.045,0.8493,2,0.6,2,5,2,44,1,60500,PT01,3
37332,2009,20,145,55428,0.055,1.1063,2,0.8,2,5,2,53,1,38400,PT01,4
37333,2009,31,55,125000,0.0513,1.8629,2,0.7063,2,5,1,42,1,101000,PT01,5
37334,2009,8,69,289188,0.0463,3.8558,2,0.69,2,5,1,99,2,175000,PT11,5
37335,2009,20,177,87318,0.0538,1.475,1,0.8,2,5,2,99,1,145600,PT01,5
37336,2009,20,51,58443,0.0538,1.1665,1,1.0,1,5,1,99,1,122500,PT01,3
37337,2009,20,203,84996,0.045,1.6965,2,0.7939,2,5,1,31,1,71450,PT01,5
37338,2009,20,167,86220,0.045,1.7209999999999999,2,0.54,2,5,1,99,1,40000,PT01,4
37339,2009,31,79,91796,0.0475,1.7721,2,0.7616,2,5,1,45,1,105100,PT01,5
37340,2009,31,79,83031,0.0475,1.6029,2,0.5798,2,5,2,52,1,138000,PT01,5
37341,2009,20,103,43116,0.045,0.6359,2,0.37,2,5,2,57,1,107000,PT01,5
37342,2009,20,103,198564,0.045,2.9287,2,0.72,2,5,1,50,1,269000,PT01,5
37343,2009,38,17,96937,0.0513,1.4777,2,0.3059,2,5,1,68,1,90250,PT01,5
37344,2009,19,79,101688,0.0475,1.9007,2,0.625,2,5,1,45,1,75000,PT01,4
37345,2009,19,79,91376,0.0488,1.7080000000000002,2,0.8,2,5,1,35,1,88000,PT01,5
37346,2009,19,103,363276,0.0538,5.3502,1,0.8,2,5,1,99,2,116000,PT06,5
37347,2009,27,91,21632,0.0588,0.3815,1,1.0747,1,5,1,99,1,59000,PT01,1
37348,2009,27,131,86798,0.0513,1.5308,2,0.72,2,5,1,67,1,332500,PT01,4
37349,2009,19,103,46521,0.0475,0.6851,2,0.8,2,5,2,41,1,100800,PT06,5
