Year,FIPSStateCode,FIPSCountyCode,Income,Rate,IncRat,Purpose,LTV,First,BoRace,BoGender,BoAge,Occup,Amount,PropType,BoCreditScore
2014,4,13,355860,0.0438,5.3593,2,0.8,2,5,1,49,1,400000,PT01,3
2014,9,1,60518,0.0475,0.5672,2,0.7,2,5,1,59,1,156000,PT01,4
2014,9,1,191916,0.0475,1.7987,1,0.9,2,5,1,37,1,587700,PT01,5
2014,9,1,119053,0.0425,1.1158,1,0.8,2,2,1,23,1,140000,PT01,4
2014,9,1,219996,0.0313,2.0618,2,0.54,2,2,1,58,1,400000,PT01,4
2014,9,1,124500,0.0425,1.1668,1,0.95,1,5,2,25,1,265525,PT01,5
2014,9,1,136222,0.0475,1.2767,1,0.8,2,5,1,39,1,343200,PT01,5
2014,9,1,201804,0.03,1.8913,2,0.62,2,5,1,43,1,416000,PT07,5
2014,9,1,147512,0.0425,1.3825,1,0.9,2,5,2,38,1,427500,PT01,5
2014,9,1,644280,0.0475,6.0382,2,0.57,2,5,1,69,2,380000,PT01,3
2014,9,1,69000,0.0475,0.6467,2,0.55,2,5,1,57,1,345000,PT01,3
2014,9,1,80196,0.0475,0.7516,2,0.59,2,5,1,59,1,305000,PT06,4
2014,9,1,237420,0.0438,2.2251,1,0.61,2,5,1,40,1,601450,PT01,4
2014,9,1,159489,0.0475,1.4947,1,0.9,2,5,2,40,1,440100,PT01,4
2014,9,1,69432,0.04,0.6507,1,0.7,1,5,2,33,1,252000,PT01,4
2014,9,1,55608,0.0375,0.5212,2,0.72,2,5,2,59,1,100000,PT01,4
2014,9,1,125000,0.0475,1.1715,1,0.75,2,5,1,48,1,427500,PT01,4
2014,9,1,75800,0.0438,0.7104,1,0.64,2,5,2,52,1,220000,PT01,4
2014,9,1,49998,0.045,0.4686,1,0.88,2,5,1,26,1,171380,PT01,5
2014,9,1,600000,0.0475,5.6232,2,0.65,2,5,1,69,1,456000,PT01,5
2014,9,1,98964,0.0413,0.9275,1,0.7,2,5,2,46,1,335000,PT01,5
2014,9,1,165868,0.0425,1.5545,2,0.9,2,5,2,39,1,440100,PT01,5
2014,9,1,64884,0.04,0.6081,2,0.63,2,5,2,36,1,285000,PT02,5
2014,9,1,106080,0.0313,0.9942,1,0.56,2,5,1,36,1,238000,PT01,5
2014,9,1,61344,0.0425,0.5749,1,0.87,1,3,2,39,1,278000,PT01,5
2014,9,1,77808,0.04,0.7292,2,0.58,2,5,1,49,1,180000,PT01,5
2014,9,1,199032,0.0313,1.8653,1,0.57,1,5,2,49,1,410000,PT01,5
2014,9,3,179218,0.0313,2.0435,2,0.75,2,5,1,53,1,280000,PT07,4
2014,9,3,109304,0.04,1.2463,1,0.9,2,5,2,28,1,274500,PT01,5
2014,9,3,85335,0.0413,0.973,1,0.9,1,5,3,28,1,135000,PT02,5
2014,9,3,112503,0.0313,1.2828,2,0.35,2,5,1,53,1,75000,PT01,5
2014,9,3,104867,0.04,1.1957,1,0.95,1,5,1,30,1,256500,PT07,5
2014,9,3,111287,0.045,1.2690000000000001,1,0.8,1,5,2,39,1,197100,PT07,5
2014,9,3,189124,0.0425,2.1565,1,0.86,2,5,1,55,1,245000,PT01,5
2014,9,3,262903,0.04,2.9978,1,0.48,2,5,1,60,1,300000,PT01,5
2014,9,3,69605,0.0363,0.7937,2,0.79,2,5,1,46,1,90000,PT01,5
2014,9,3,241692,0.0375,2.7559,1,0.68,2,5,2,43,1,417000,PT01,2
2014,9,3,77480,0.0413,0.8835,2,0.63,2,5,2,54,1,128000,PT01,4
2014,9,3,241680,0.0313,2.7558,2,0.67,2,5,2,43,1,412000,PT01,4
2014,9,3,82742,0.0413,0.9435,1,0.79,1,5,1,29,1,224500,PT01,5
2014,9,3,87488,0.0413,0.9976,1,0.59,2,5,2,43,1,165500,PT11,5
2014,9,5,109273,0.0325,1.3134,2,0.42,2,7,3,47,1,115000,PT01,3
2014,9,5,178981,0.0388,2.1512,2,0.56,2,5,1,43,1,280000,PT01,3
2014,9,5,76968,0.0425,0.9251,1,0.78,1,5,2,31,1,143000,PT01,5
2014,9,5,164796,0.0438,1.9807,1,0.8,2,5,1,31,1,300000,PT01,5
2014,9,5,114802,0.0438,1.3798,1,0.9,1,5,2,35,1,252000,PT01,5
2014,9,5,171816,0.04,2.0651,2,0.74,2,7,3,59,1,180000,PT01,4
2014,9,5,98672,0.0413,1.186,1,0.76,2,5,2,57,1,205000,PT01,5
