Year,FIPSStateCode,FIPSCountyCode,Income,Rate,IncRat,Purpose,LTV,First,BoRace,BoGender,BoAge,Occup,Amount,PropType,BoCreditScore
2013,8,13,168662,0.045,1.7981,1,0.9,2,5,1,34,1,236610,PT01,5
2013,9,1,287556,0.035,2.695,2,0.65,2,5,2,40,1,600000,PT01,5
2013,9,1,174432,0.035,1.6348,2,0.5,2,5,1,39,1,475000,PT01,2
2013,9,1,156192,0.0338,1.4638,2,0.35,2,5,1,68,1,310000,PT01,5
2013,9,1,207336,0.0288,1.9432,2,0.32,2,5,1,45,1,275000,PT01,4
2013,9,1,63636,0.035,0.5964,2,0.52,2,5,1,73,1,119000,PT01,5
2013,9,1,247212,0.0338,2.3169,2,0.52,2,5,1,44,1,515000,PT01,5
2013,9,1,121968,0.035,1.1431,2,0.66,2,7,1,32,1,380000,PT11,5
2013,9,1,55512,0.0388,0.5203,2,0.6,2,3,1,47,1,132000,PT11,3
2013,9,1,165948,0.0388,1.5553,1,0.8,2,2,2,42,1,508000,PT01,5
2013,9,1,205905,0.0288,1.9298,2,0.56,2,5,1,47,1,316000,PT01,5
2013,9,1,218607,0.0363,2.0488,2,0.72,2,5,1,38,1,290000,PT01,5
2013,9,1,116004,0.035,1.0872,2,0.8,2,5,1,33,1,277000,PT01,5
2013,9,1,418824,0.0288,3.9252,2,0.32,2,5,2,52,1,297000,PT01,5
2013,9,1,324996,0.0288,3.0459,2,0.78,2,5,1,42,1,525000,PT01,4
2013,9,1,95004,0.0363,0.8904,2,0.83,2,5,1,60,1,145000,PT01,5
2013,9,1,124584,0.0388,1.1676,1,0.8,2,5,1,28,1,324000,PT11,5
2013,9,1,148896,0.035,1.3955,1,0.51,2,5,2,56,1,249000,PT01,5
2013,9,1,66300,0.0388,0.6214,1,0.68,2,2,1,46,2,162500,PT11,5
2013,9,1,58217,0.0388,0.5456,2,0.56,2,5,1,59,1,165000,PT01,4
2013,9,1,34299,0.0375,0.3215,2,0.8,2,3,2,65,1,66560,PT01,3
2013,9,1,137553,0.045,1.2892,1,0.8,2,5,2,30,1,290000,PT01,4
2013,9,1,67992,0.0388,0.6372,1,0.8,2,5,1,31,1,136000,PT01,2
2013,9,1,164672,0.0475,1.5433,1,0.8,2,5,2,40,1,376000,PT11,5
2013,9,3,64609,0.0363,0.7367,1,0.95,1,5,2,36,1,150765,PT01,3
2013,9,3,58236,0.0338,0.664,2,0.43,2,5,1,34,1,253000,PT01,5
2013,9,3,72100,0.035,0.8221,2,0.6,2,5,2,48,1,128900,PT01,5
2013,9,3,52510,0.035,0.5987,2,0.7,2,5,1,33,1,252243,PT01,5
2013,9,3,84208,0.0375,0.9602,2,0.8,2,5,1,39,1,260000,PT01,5
2013,9,3,161812,0.04,1.8451,2,0.74,2,5,1,61,1,343000,PT01,4
2013,9,3,157071,0.0375,1.791,2,0.85,2,5,1,55,1,397900,PT01,4
2013,9,3,125273,0.0375,1.4284,2,0.8,2,5,1,51,1,214400,PT01,4
2013,9,3,159271,0.0375,1.8161,2,0.71,2,5,2,51,1,207100,PT01,5
2013,9,3,163082,0.03,1.8595,2,0.82,2,5,1,54,1,312000,PT01,4
2013,9,3,216996,0.0288,2.4743,2,0.85,2,5,1,35,1,255000,PT01,5
2013,9,3,58962,0.0375,0.6723,2,0.52,2,5,2,72,1,179900,PT01,5
2013,9,3,107751,0.0438,1.2286,2,0.88,2,5,2,32,1,178740,PT01,5
2013,9,3,230055,0.0438,2.6232,2,0.6,2,5,1,48,1,175000,PT01,5
2013,9,3,95294,0.0338,1.0866,2,0.48,2,5,1,66,1,168800,PT01,4
2013,9,3,74516,0.0438,0.8497,1,0.9,2,5,1,47,1,211500,PT01,5
2013,9,3,173687,0.0313,1.9805,2,0.51,2,7,1,99,1,130000,PT01,2
2013,9,3,194365,0.04,2.2162,2,0.8,2,5,1,99,1,269600,PT01,3
2013,9,3,128251,0.0375,1.4624,1,0.89,2,5,2,99,1,126000,PT01,4
2013,9,3,100000,0.03,1.1403,2,0.8,2,5,1,99,1,188000,PT01,5
2013,9,5,244628,0.0363,2.9402,2,0.53,2,5,2,41,1,250000,PT01,2
2013,9,5,36400,0.0425,0.4375,1,0.33,2,5,2,37,1,60000,PT01,5
2013,9,9,81696,0.035,0.9903,2,0.67,2,5,1,37,1,252600,PT01,4
2013,9,9,96779,0.0288,1.1731,2,0.41,2,5,1,71,1,100000,PT01,4
2013,9,9,79764,0.0338,0.9668,1,0.2,2,5,1,65,1,100000,PT11,5
2013,9,9,121488,0.0375,1.4726,2,0.8,2,5,1,61,1,138400,PT01,5
