Year,FIPSStateCode,FIPSCountyCode,Income,Rate,IncRat,Purpose,LTV,First,BoRace,BoGender,BoAge,Occup,Amount,PropType,BoCreditScore
2016,24,3,129360,0.0325,1.5112,2,0.84,2,7,1,45,1,384000,PT07,4
2016,42,95,53856,0.035,0.7347,2,0.76,2,5,1,24,1,113000,PT01,4
2016,47,35,39264,0.0338,0.8536,1,1.0,1,1,2,70,1,125750,PT01,4
2016,48,29,86712,0.0338,1.4262,1,1.03,1,5,1,26,1,162400,PT01,4
2016,37,67,125688,0.035,2.0272,1,0.89,2,5,1,58,1,400000,PT07,4
2016,12,57,71916,0.0363,1.2751,1,0.9,2,7,1,39,1,405000,PT01,5
2016,48,439,108720,0.035,1.5711,2,0.79,2,5,1,48,1,164900,PT07,5
2016,13,153,124332,0.0338,1.7413,2,0.81,2,3,1,51,1,270000,PT07,5
2016,9,11,182004,0.035,2.1564,2,0.95,2,7,1,46,1,312000,PT01,3
2016,24,47,146724,0.0338,2.021,2,0.95,2,7,1,47,1,324900,PT07,5
2016,13,121,235680,0.0325,3.4009,1,1.0,2,5,1,44,1,404000,PT11,4
2016,12,113,66408,0.0338,1.1218,1,1.03,1,5,1,32,1,193050,PT01,5
2016,12,57,94512,0.0363,1.6757,1,1.0,1,5,1,70,1,240000,PT07,5
2016,37,119,150540,0.035,2.1977,2,0.93,2,3,1,49,1,205100,PT01,4
2016,41,5,106452,0.035,1.4582,1,1.03,1,5,1,47,1,388150,PT07,3
2016,35,43,108504,0.035,1.7529,1,1.04,2,5,1,49,1,340850,PT07,4
2016,51,680,101700,0.0275,1.6922,1,1.0,2,5,1,46,1,187900,PT07,5
2016,42,71,127584,0.0288,1.8357,2,0.85,2,7,3,30,1,160000,PT01,5
2016,51,137,117984,0.0275,2.2430000000000003,2,0.54,2,5,1,70,1,175000,PT07,5
2016,26,147,94116,0.0275,1.2582,1,1.0,2,5,2,49,1,200000,PT11,5
