Year,FIPSStateCode,FIPSCountyCode,Income,Rate,IncRat,Purpose,LTV,First,BoRace,BoGender,BoAge,Occup,Amount,PropType,BoCreditScore
2015,51,69,110904,0.0338,1.6984,2,1.0,2,7,1,44,1,338100,PT07,4
2015,18,39,126984,0.035,2.4514,1,0.59,2,5,1,54,1,139500,PT07,5
2015,13,245,72972,0.035,1.2603,2,0.65,2,7,1,66,1,176000,PT01,3
2015,12,9,88176,0.035,1.5047,2,0.97,2,5,1,79,1,105300,PT01,5
2015,32,3,101424,0.035,1.5774,1,0.84,2,5,1,65,1,417000,PT01,5
2015,24,17,54408,0.0363,0.5147,1,1.03,1,5,1,28,1,264550,PT01,3
2015,12,109,191724,0.035,2.8488,1,1.0,1,7,2,57,1,295000,PT07,5
2015,51,510,82500,0.035,0.7805,1,1.03,1,5,1,32,1,268650,PT11,5
2015,36,11,62076,0.0363,1.091,1,1.0,2,5,1,65,1,155000,PT01,5
2015,24,25,159096,0.0388,1.8586,2,0.9,2,3,1,48,1,348800,PT07,5
2015,13,113,64320,0.035,0.9281,1,1.0,2,3,1,75,1,219900,PT07,4
2015,34,15,39984,0.035,0.4585,2,0.49,2,5,1,68,1,75000,PT01,5
2015,12,9,57948,0.035,0.9889,2,0.85,2,5,1,77,1,253050,PT07,4
2015,51,179,155244,0.035,1.4687,2,0.84,2,5,1,54,1,300000,PT07,4
2015,48,29,113556,0.035,1.8677,2,0.88,2,3,1,49,1,209000,PT07,4
2015,35,1,118548,0.035,1.9152,2,0.74,2,5,1,47,1,417000,PT07,5
2015,24,510,81744,0.035,0.955,1,1.04,2,5,1,42,1,135300,PT01,5
2015,37,51,107628,0.0363,2.0423,1,1.01,2,3,2,48,1,398350,PT07,5
2015,37,51,104532,0.0363,1.9835,1,0.96,1,7,3,53,1,340000,PT01,5
2015,48,27,110520,0.035,1.9492,2,0.83,2,5,1,44,1,166100,PT01,4
2015,25,27,110124,0.035,1.3173,1,1.04,2,5,1,60,1,398700,PT01,5
2015,12,71,89976,0.035,1.5785,1,1.04,2,7,3,67,1,195100,PT01,5
2015,48,397,113160,0.035,1.6028,1,1.0,2,7,1,38,1,312000,PT07,5
2015,37,93,223968,0.0363,4.2499,1,0.92,2,7,2,37,1,305000,PT01,5
2015,24,27,185904,0.0363,2.1718,1,1.03,2,7,2,37,1,411550,PT11,4
2015,48,29,79800,0.035,1.3125,1,1.03,2,7,1,51,1,202250,PT01,4
2015,37,93,68796,0.0363,1.3054,2,0.65,2,2,1,50,1,141800,PT01,5
2015,51,59,182244,0.035,1.7242,2,0.54,2,3,1,62,1,285350,PT07,5
2015,48,167,174924,0.035,2.6147,1,0.8,1,2,1,44,1,242200,PT07,5
2015,48,113,50640,0.035,0.7173,1,1.0,1,7,1,37,1,143000,PT01,4
2015,13,39,76452,0.035,1.6914,1,1.0,2,7,3,34,1,200000,PT01,5
2015,29,47,90336,0.035,1.2324,1,1.03,1,3,1,38,1,245050,PT07,3
2015,4,13,122664,0.035,1.8473,1,1.03,2,5,2,52,1,148200,PT01,4
2015,6,37,103968,0.0363,1.6044,2,0.71,2,5,1,48,1,360000,PT01,4
2015,8,35,76308,0.035,0.9623,1,0.78,2,7,1,35,1,364500,PT07,5
2015,4,19,70812,0.0363,1.2578,2,0.86,2,5,1,59,1,125600,PT07,5
2015,4,13,162612,0.0413,2.449,2,1.0,2,5,1,53,1,317500,PT07,5
2015,19,153,170700,0.0388,2.2609,1,1.0,1,7,3,56,1,163800,PT01,4
2015,12,105,21936,0.0375,0.4025,1,0.51,1,5,1,61,1,50600,PT07,5
2015,51,47,135480,0.0388,2.5757,1,1.0,2,7,1,58,1,389000,PT01,4
2015,48,29,76344,0.0375,1.2557,1,1.04,1,7,1,40,1,205050,PT07,4
2015,13,153,144468,0.0375,2.0234,2,0.4,2,5,2,66,1,44550,PT01,3
2015,29,183,79272,0.0375,1.126,1,1.0,2,5,2,66,1,133900,PT01,3
2015,48,85,127368,0.0375,1.8041,2,0.86,2,7,1,51,1,210000,PT01,5
2015,48,73,160512,0.0375,3.2558,2,0.75,2,5,1,70,1,320000,PT07,3
2015,24,33,137256,0.0375,1.2985,1,0.96,2,7,1,50,1,300000,PT01,5
2015,53,67,165768,0.0388,2.2102,2,0.95,2,5,1,50,1,260650,PT07,5
2015,37,47,39012,0.0388,0.7771,1,0.81,2,5,1,88,1,130000,PT01,5
2015,39,57,150900,0.0375,2.3839,1,1.0,2,5,1,46,1,334000,PT07,5
2015,49,35,174348,0.0375,2.4453,2,1.0,2,5,1,50,1,303000,PT01,4
2015,51,153,158688,0.04,1.5013,1,0.91,1,5,1,50,1,280000,PT07,5
2015,48,29,139872,0.04,2.3005,1,1.03,2,5,2,35,1,159050,PT01,3
2015,13,67,70680,0.0363,1.0199,1,0.88,2,5,1,73,1,202500,PT01,5
2015,48,29,136080,0.0363,2.2382,1,1.0,2,5,1,44,1,362500,PT07,4
2015,24,3,101208,0.035,1.1823,1,1.03,2,3,1,55,1,414700,PT07,5
2015,36,67,143496,0.0363,2.1546,1,0.9,1,5,1,27,1,187300,PT01,5
2015,51,810,72768,0.0375,1.0263,1,1.0,1,5,1,48,1,170000,PT11,5
2015,24,33,160740,0.0413,1.5207,2,0.88,2,3,1,52,1,258900,PT01,4
2015,37,85,114384,0.0375,2.2786,1,0.98,2,5,1,43,1,277050,PT07,5
2015,53,53,65796,0.04,0.9177,1,1.02,1,2,1,33,1,217550,PT07,5
