Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2017,13,215,141988,43128,0.0338,0.741,1.03,PT01,1,3,2,53,3
2017,51,137,254900,81684,0.0338,1.55,1.0,PT07,2,5,1,79,5
2017,51,59,278000,183108,0.0338,1.6737,1.0,PT11,2,5,2,52,5
2017,45,25,249246,76800,0.0338,1.6552,1.03,PT01,2,5,1,38,4
2017,24,3,312579,127464,0.0338,1.4226,1.03,PT01,1,5,1,64,4
2017,1,89,322232,111336,0.0338,1.4845,1.01,PT07,1,7,1,54,5
2017,13,233,95036,22344,0.0338,0.4674,1.04,PT01,2,5,1,71,3
2017,1,113,203278,64140,0.0325,1.1021,1.03,PT01,1,5,2,32,5
2017,12,9,148230,66288,0.0325,1.0709,0.81,PT01,2,7,1,61,5
2017,37,57,384200,80016,0.0338,1.3403,0.99,PT01,2,3,1,57,5
2017,12,83,270000,61296,0.0375,1.2959,1.0,PT07,2,5,1,58,5
2017,12,101,367000,119160,0.0375,2.0197,0.86,PT07,2,5,1,58,5
2017,37,183,271918,77556,0.0375,0.9842,0.97,PT01,2,7,1,43,4
2017,54,37,187000,96888,0.0375,0.8856,1.0,PT07,2,5,1,44,5
2017,12,105,358130,98436,0.0375,1.957,1.0,PT07,1,7,1,61,5
2017,28,73,243843,89520,0.0375,1.9252,1.03,PT07,1,7,1,45,3
2017,51,13,328450,96756,0.0375,0.8844,0.91,PT11,2,2,1,26,4
2017,12,127,113000,46572,0.0375,0.9043,1.0,PT01,1,5,1,66,4
2017,24,510,335000,75684,0.0375,0.8447,1.0,PT01,1,5,1,24,5
2017,37,51,236988,99228,0.0275,1.8274,1.03,PT01,2,5,1,51,5
2017,13,135,267952,69168,0.0375,0.9783,1.0,PT07,2,5,1,79,5
2017,13,185,103000,68040,0.0375,1.35,1.0,PT01,1,3,1,75,5
2017,12,117,256000,135324,0.0375,2.3212,1.03,PT07,2,5,1,69,5
2017,12,57,263495,83424,0.0375,1.414,0.61,PT07,2,3,2,47,5
2017,12,125,309980,122988,0.0388,2.5623,1.04,PT01,2,7,1,55,4
2017,51,59,235912,111144,0.0375,1.0159,0.84,PT11,2,5,1,49,4
2017,13,67,300000,96828,0.0375,1.3696,1.0,PT07,1,5,1,34,5
2017,24,3,171830,59712,0.0413,0.6664,0.99,PT07,2,5,2,54,1
2017,24,510,219942,115884,0.0388,1.2933,0.99,PT01,1,3,1,48,3
2017,51,59,516500,134940,0.0375,1.2335,1.04,PT07,2,3,1,53,5
2017,51,107,483169,107328,0.0375,0.9811,1.03,PT07,1,2,1,36,4
2017,51,510,625158,204996,0.0388,1.8738,1.03,PT01,1,5,1,40,5
2017,24,5,230644,59256,0.0438,0.6613,0.99,PT11,1,7,3,28,3
2017,24,45,128205,50028,0.04,0.772,0.92,PT01,1,3,2,50,2
2017,24,5,201286,76044,0.0388,0.8487,0.99,PT01,1,3,2,40,4
2017,24,5,171830,53376,0.04,0.5957,0.99,PT07,1,3,2,34,1
2017,24,5,208160,66624,0.0438,0.7436,0.99,PT07,1,2,2,27,3
2017,24,27,200795,75792,0.0425,0.8459,0.99,PT11,1,7,3,34,3
2017,24,3,142373,58824,0.0388,0.6565,0.99,PT01,1,7,2,22,2
2017,24,510,129609,51192,0.0388,0.5713,0.99,PT01,1,3,1,36,3
2017,24,15,288674,72780,0.0375,0.9041,0.99,PT01,1,3,2,38,3
2017,45,83,160000,36936,0.0388,0.674,1.0,PT07,2,7,2,53,4
2017,51,650,219622,44760,0.0375,0.6049,1.03,PT07,1,5,1,24,3
2017,1,101,194085,53148,0.0388,0.8947,1.03,PT07,1,5,1,24,4
2017,12,127,251289,101652,0.0375,1.9738,1.03,PT07,1,3,2,39,4
2017,37,21,125000,34944,0.0375,0.6251,0.97,PT01,1,5,1,68,4
2017,51,107,395320,97152,0.0388,0.888,1.03,PT07,1,5,1,54,5
2017,13,63,79750,25980,0.0388,0.3675,0.47,PT07,2,3,1,57,4
2017,37,151,177082,63036,0.0438,1.1673,0.99,PT01,1,5,2,42,2
2017,21,47,369016,137988,0.0388,2.4908,1.03,PT01,2,7,1,52,5
2017,12,99,178762,63564,0.0413,0.9794,1.03,PT07,1,5,1,28,3
2017,51,199,315000,118056,0.0388,1.5954,0.73,PT07,2,3,1,53,5
2017,47,125,198000,189204,0.0375,3.4152,1.0,PT01,2,5,1,55,4
2017,37,87,365000,151872,0.0375,2.7169,1.0,PT01,2,7,1,52,4
2017,24,33,147283,77592,0.0375,0.7093,0.99,PT11,1,7,2,43,3
2017,24,510,171830,72024,0.0388,0.8038,0.99,PT01,1,5,2,33,2
2017,24,5,150228,46356,0.04,0.5174,0.99,PT01,1,5,1,32,3
2017,12,57,296987,121620,0.0388,2.0614,1.04,PT01,2,5,1,45,5
2017,24,5,152192,38016,0.0388,0.4243,0.99,PT01,1,5,2,35,3
2017,24,27,182895,59712,0.0388,0.6664,0.92,PT11,1,3,1,35,4
2017,51,197,75757,37440,0.0425,0.7104,0.96,PT01,1,5,1,45,3
2017,51,25,186868,52908,0.0425,1.0039,1.02,PT01,1,5,1,28,3
2017,1,89,116844,34584,0.0388,0.4611,0.99,PT01,1,5,1,34,2
2017,37,143,225000,81588,0.0363,1.6318,0.9,PT01,2,5,1,70,5
2017,37,141,250267,88020,0.0363,1.3118,1.03,PT07,1,5,1,32,4
2017,24,31,206196,97188,0.0375,0.8451,0.99,PT11,2,3,2,64,3
2017,24,5,197849,75084,0.0375,0.838,0.99,PT01,2,3,1,45,5
2017,45,15,173544,52260,0.0413,0.8308,1.04,PT11,2,5,2,50,1
2017,45,63,144000,62400,0.04,0.9645,0.99,PT01,1,5,1,24,4
2017,24,5,185576,44424,0.04,0.4958,0.99,PT01,1,5,1,27,2
2017,24,5,262654,111000,0.0388,1.2388,0.99,PT01,1,5,2,32,4
2017,24,5,154660,77256,0.0375,0.8622,0.82,PT01,2,7,2,36,3
2017,24,5,194413,76284,0.0375,0.8514,0.99,PT01,1,3,2,37,3
2017,24,25,161629,37764,0.0375,0.4215,0.92,PT07,1,7,2,46,4
2017,47,43,187500,113640,0.0388,1.6936,1.0,PT01,2,7,1,38,3
2017,37,183,407578,133140,0.0388,1.6896,1.03,PT07,2,3,2,39,5
2017,24,510,308834,150000,0.0388,1.6741,1.04,PT07,1,5,1,35,4
2017,37,125,261504,76128,0.0375,1.5226,1.03,PT01,1,7,3,28,4
2017,51,510,182500,151764,0.0375,1.3872,1.0,PT11,2,7,3,58,5
2017,37,165,131212,53388,0.0375,1.0678,1.0,PT01,1,1,1,60,4
2017,51,173,74949,59544,0.0375,1.1299,0.97,PT01,1,5,1,44,4
2017,51,25,151515,33696,0.0375,0.6394,0.91,PT07,1,5,2,41,4
2017,45,89,89898,53184,0.0375,1.1462,0.91,PT01,1,5,1,22,4
2017,45,63,137464,69996,0.0413,1.0819,0.99,PT01,2,5,2,54,2
2017,45,41,89351,27300,0.0388,0.5482,0.99,PT01,1,5,2,27,3
2017,45,41,154655,51948,0.0375,1.0431,1.03,PT07,1,5,1,31,3
2017,24,33,196377,114012,0.04,1.0422,0.99,PT01,1,7,2,47,4
2017,24,510,117826,35220,0.0375,0.3931,0.99,PT01,1,3,2,28,2
2017,24,3,211105,59652,0.0375,0.6658,0.99,PT07,1,3,1,33,4
2017,24,5,169856,47088,0.0388,0.5255,0.99,PT01,1,3,2,35,3
2017,24,3,152192,39000,0.0375,0.4353,0.99,PT01,1,5,1,35,4
2017,45,41,86896,55116,0.0388,1.1067,0.99,PT07,1,3,2,25,3
2017,24,510,148265,60768,0.0388,0.6782,0.99,PT01,1,3,2,49,2
2017,45,35,248953,66732,0.04,1.0609,1.04,PT07,2,5,1,69,4
2017,37,63,235000,50592,0.0375,0.7506,1.0,PT01,2,7,1,48,4
2017,37,49,315000,225204,0.0375,3.8895,0.62,PT07,2,5,1,70,5
2017,12,57,187956,82344,0.0375,1.3957,1.03,PT07,1,5,1,64,4
2017,12,91,309900,109812,0.0375,1.6817,1.05,PT01,2,5,1,47,3
2017,13,67,339730,86244,0.0375,1.2199,0.92,PT07,2,3,2,52,5
2017,13,73,209900,143388,0.0388,2.418,1.0,PT01,1,5,2,40,5
2017,12,83,150818,75696,0.0375,1.6003,1.04,PT01,2,5,2,55,4
2017,13,73,150058,88128,0.0325,1.4861,1.03,PT01,1,5,1,27,5
2017,12,95,244821,48816,0.0375,0.8373,1.04,PT07,2,3,1,43,5
2017,45,83,146000,36228,0.0375,0.6611,1.0,PT07,2,5,1,65,5
2017,13,97,239700,80592,0.0375,1.1399,1.0,PT07,2,3,1,71,3
2017,47,157,175000,138996,0.04,2.3013,0.99,PT11,2,5,1,65,5
2017,51,59,572416,187788,0.0388,1.7165,1.03,PT01,1,5,1,31,3
2017,51,153,474900,114840,0.0375,1.0497,1.0,PT01,1,7,1,42,4
2017,51,173,234343,71700,0.0375,1.3605,1.02,PT01,1,5,1,26,5
2017,45,51,144485,50556,0.0388,0.9467,0.91,PT07,2,5,1,48,4
2017,51,29,100909,26568,0.0388,0.3288,1.01,PT01,1,5,1,22,4
2017,45,41,89351,24960,0.0438,0.5012,0.99,PT07,1,3,2,26,2
2017,45,63,136482,89712,0.04,1.3866,0.99,PT01,2,5,1,30,4
2017,24,5,198341,85248,0.0375,0.9514,0.99,PT07,1,5,2,25,4
2017,24,5,220985,74424,0.0375,0.8306,0.97,PT01,1,3,1,44,4
2017,24,3,216997,72576,0.0375,0.81,0.99,PT01,1,5,2,25,4
2017,13,245,69900,84072,0.0325,1.4177,1.0,PT01,2,3,1,63,1
2017,12,91,300712,80220,0.0325,1.2285,0.92,PT07,1,2,2,54,5
2017,12,113,120000,53676,0.0325,0.848,0.8,PT01,1,7,3,42,5
2017,1,73,165000,75480,0.0325,1.2077,1.0,PT01,2,7,3,70,5
2017,51,107,310000,165252,0.0338,1.5105,0.44,PT11,2,5,1,67,5
2017,51,41,220000,71520,0.0388,0.9216,1.0,PT01,1,5,1,46,1
2017,37,157,299700,70020,0.0375,1.2967,0.81,PT01,2,5,1,60,5
2017,13,219,288200,74580,0.0375,1.3177,1.0,PT07,1,7,2,43,3
2017,12,31,337900,97332,0.0388,1.5376,1.0,PT07,2,5,1,65,5
2017,12,73,254968,48936,0.0375,0.7517,0.95,PT11,2,3,1,58,5
2017,47,149,264900,80640,0.0388,1.2018,1.0,PT01,2,7,1,38,4
2017,24,33,378000,132552,0.0375,1.2116,0.9,PT07,1,7,1,43,1
2017,51,69,348952,201276,0.0375,2.6519,0.77,PT01,2,5,1,62,5
2017,24,39,157102,27756,0.0375,0.4283,0.99,PT01,1,5,1,22,4
2017,24,43,125450,44424,0.0375,0.6793,0.97,PT01,1,5,1,28,2
2017,24,5,241544,60648,0.0375,0.6769,0.99,PT07,1,3,2,36,3
2017,24,5,211105,53556,0.0375,0.5977,0.99,PT07,1,7,1,38,2
2017,1,73,233689,76716,0.04,1.2275,0.99,PT01,1,5,2,49,2
2017,45,41,116503,33660,0.0425,0.6759,0.98,PT01,1,5,2,36,3
2017,51,197,136500,44952,0.0375,0.853,0.98,PT01,1,5,2,56,5
2017,45,41,70695,34020,0.0425,0.6831,0.99,PT11,1,5,2,23,3
2017,1,45,155000,33600,0.0413,0.7149,1.0,PT01,1,5,1,59,4
2017,24,9,399900,98556,0.0375,0.9009,1.0,PT01,2,5,2,36,5
2017,24,21,246000,131280,0.0388,1.1416,0.75,PT01,2,5,1,55,5
2017,24,25,263250,134820,0.0375,1.5047,0.74,PT07,2,5,1,59,5
2017,13,73,242248,149076,0.0388,2.5139,0.93,PT07,2,7,1,74,4
2017,13,185,202492,112116,0.0375,2.2245,0.97,PT07,2,1,1,35,4
2017,51,153,561825,152688,0.0375,1.3957,1.03,PT07,1,5,1,51,5
2017,51,153,480345,157404,0.0388,1.4388,1.04,PT01,1,5,1,30,5
2017,24,25,260200,122184,0.0388,1.3637,0.99,PT01,1,5,1,31,4
2017,24,510,149246,40308,0.0375,0.4499,0.99,PT01,1,7,3,28,3
2017,24,31,310276,58008,0.0375,0.5044,0.99,PT11,1,3,2,40,5
