Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2013,12,11,113600,71976,0.0488,1.1498,0.8,PT11,2,5,2,44,5
2013,12,86,154400,65062,0.0375,1.2369,0.8,PT11,2,5,2,32,5
2013,12,111,109600,104340,0.0488,1.8305,0.8,PT01,2,5,1,68,5
2013,37,183,247000,79824,0.0463,0.999,0.95,PT01,2,5,2,48,5
2013,51,9,264005,93709,0.0388,1.5592,0.66,PT01,2,5,1,43,4
2013,51,9,168150,52930,0.0425,0.8807,0.9,PT01,2,5,2,36,5
2013,37,141,182773,90757,0.0325,1.4927,0.97,PT07,1,5,1,26,4
2013,45,3,153918,52800,0.035,0.9119,1.02,PT07,1,5,2,25,3
2013,45,3,125917,46279,0.035,0.7993,1.02,PT07,1,3,1,33,5
2013,45,13,265109,80000,0.035,1.6563,0.97,PT07,1,5,1,30,3
2013,45,15,174290,100706,0.035,1.5985,1.0,PT07,2,3,2,35,2
2013,45,15,88369,67572,0.035,1.0726,0.97,PT01,1,5,1,32,2
2013,45,19,132456,45180,0.035,0.7171,0.97,PT01,1,5,1,25,3
2013,45,19,123960,38827,0.035,0.6163,1.0,PT01,2,3,1,66,5
2013,45,19,177230,137068,0.04,2.1757,0.97,PT07,1,5,1,29,2
2013,45,31,64804,28600,0.0375,0.5521,0.97,PT12,1,5,1,35,5
2013,45,35,127546,35544,0.035,0.5642,0.97,PT07,1,5,2,23,4
2013,45,35,216500,124356,0.035,1.9739,1.0,PT07,2,5,2,42,5
2013,45,43,137755,57348,0.035,1.1873,1.02,PT01,1,5,1,27,3
2013,45,43,125681,53908,0.035,1.1161,0.97,PT01,1,5,2,25,5
2013,45,51,147184,33267,0.035,0.6049,0.97,PT07,1,5,1,49,2
2013,45,51,105061,26348,0.035,0.4791,0.97,PT07,2,5,2,29,4
2013,45,51,58913,76583,0.035,1.3924,0.97,PT01,1,5,1,19,4
2013,45,51,87387,28777,0.0375,0.5232,0.97,PT12,1,5,2,24,4
2013,45,51,134518,41988,0.035,0.7634,0.97,PT07,2,5,1,31,4
2013,45,51,155000,60779,0.035,1.1051,1.0,PT07,1,5,1,67,5
2013,45,51,111690,34380,0.035,0.6251,1.01,PT07,1,5,1,24,3
2013,45,51,171830,55719,0.0338,1.0131,0.97,PT07,1,5,1,28,5
2013,45,63,106043,46043,0.035,0.7138,0.97,PT01,1,5,1,47,2
