Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2012,12,15,93600,84288,0.0375,1.5105,0.8,PT01,2,5,2,60,5
2012,12,97,68000,26832,0.0375,0.461,0.8,PT01,2,5,2,66,2
2012,13,121,166250,74652,0.035,1.0772,0.95,PT11,2,5,2,69,5
2012,37,183,403000,99648,0.0375,1.2472,0.94,PT07,2,5,1,38,5
2012,37,19,114000,27096,0.04,0.4457,1.0,PT07,1,5,1,64,4
2012,37,19,76530,37440,0.0388,0.6158,0.98,PT01,1,5,1,43,2
2012,37,19,129591,34275,0.035,0.5637,0.99,PT07,1,5,2,46,5
2012,37,19,152625,41711,0.035,0.6859999999999999,0.92,PT07,1,3,2,68,3
2012,37,89,180500,66732,0.0388,1.1427,0.95,PT07,2,5,1,49,3
2012,37,129,151500,56375,0.04,0.9272,0.75,PT01,2,5,1,39,4
2012,37,129,98188,48343,0.0375,0.7951,0.97,PT01,1,5,2,32,3
2012,37,133,122637,23336,0.035,0.4733,0.97,PT01,1,7,1,57,2
2012,37,159,143000,66263,0.0375,1.32,1.0,PT01,1,5,1,62,2
2012,45,3,129081,24480,0.0375,0.4228,1.01,PT07,1,5,1,24,4
2012,45,3,122474,35729,0.0375,0.6171,1.02,PT07,1,5,1,64,3
2012,45,3,114285,43656,0.035,0.754,1.0,PT01,1,5,2,43,3
2012,45,3,84693,27000,0.0375,0.4663,1.03,PT01,1,5,2,25,3
2012,45,3,141733,39312,0.035,0.679,1.02,PT07,1,5,2,24,3
2012,45,7,134603,42900,0.0375,0.7647,1.02,PT07,1,5,1,32,2
2012,45,7,79900,21660,0.04,0.3861,0.97,PT01,1,5,2,73,4
2012,45,7,133673,36432,0.0375,0.6494,1.03,PT01,1,5,1,45,3
2012,45,7,70102,22344,0.0375,0.3983,0.99,PT01,1,7,1,20,3
2012,45,13,107025,30632,0.0375,0.6342,0.97,PT07,1,5,2,48,2
2012,45,15,146197,41857,0.0388,0.6644,0.97,PT07,2,5,1,40,3
2012,45,15,48478,24912,0.04,0.3954,0.97,PT12,1,5,1,26,3
2012,45,15,165483,98172,0.0375,1.5583,1.0,PT07,2,5,1,61,5
2012,45,15,150450,50448,0.04,0.8008,0.95,PT07,2,5,1,47,4
2012,45,15,60915,35000,0.0363,0.5556,0.97,PT12,1,5,2,58,3
2012,45,15,154156,88600,0.0375,1.4063,0.97,PT07,1,5,2,32,3
2012,45,15,189012,72612,0.035,1.1526,0.97,PT01,1,5,1,24,4
2012,45,15,161912,59678,0.0375,0.9473,0.97,PT07,1,5,1,23,3
2012,45,15,86406,29980,0.035,0.4759,0.97,PT01,1,5,1,25,3
2012,45,15,245471,214981,0.035,3.4124,0.97,PT07,1,5,2,33,3
2012,45,15,97206,31931,0.035,0.5068,0.97,PT01,1,5,2,23,4
2012,45,15,175698,113476,0.035,1.8012,1.0,PT07,2,5,1,63,4
2012,45,19,57991,18183,0.0388,0.2886,0.97,PT01,2,5,1,74,2
2012,45,19,134809,71430,0.0375,1.1338,0.95,PT07,2,5,1,55,5
2012,45,19,127687,66849,0.0375,1.0611,1.0,PT01,2,5,1,54,2
2012,45,19,89667,85292,0.0375,1.3538,0.97,PT01,1,5,1,22,4
2012,45,19,154400,35970,0.0375,0.5710000000000001,0.97,PT01,1,5,2,27,4
2012,45,19,322344,279044,0.0375,4.4293,0.96,PT01,2,5,1,68,5
2012,45,19,383062,128556,0.0375,2.0406,1.0,PT01,2,5,1,42,5
2012,45,19,76488,26000,0.0375,0.4127,0.97,PT07,1,5,1,27,3
2012,45,19,169866,406515,0.0375,6.4526,0.97,PT01,1,5,1,27,5
2012,45,19,137464,81146,0.035,1.288,0.97,PT01,1,5,2,56,5
2012,45,19,265109,161923,0.035,2.5702,0.97,PT07,2,5,1,39,4
2012,45,31,153060,34536,0.0375,0.6667,1.01,PT01,1,5,2,35,2
2012,45,31,110204,49416,0.0375,0.954,0.96,PT01,1,5,2,32,3
2012,45,31,77448,36400,0.0388,0.7027,1.03,PT01,1,3,1,26,4
2012,45,33,203701,103560,0.0388,2.1441,0.97,PT01,2,5,1,41,3
2012,45,35,163741,64728,0.0375,1.0274,0.97,PT07,2,5,2,49,5
2012,45,35,240052,80676,0.0375,1.2806,1.0,PT07,1,5,1,47,4
2012,45,35,83460,40000,0.0375,0.6349,0.97,PT07,1,5,2,32,5
2012,45,35,176994,75222,0.0375,1.194,0.97,PT07,1,5,1,53,3
2012,45,35,52910,47496,0.035,0.7539,0.95,PT01,2,5,1,78,3
2012,45,41,98879,35352,0.0375,0.6918,0.91,PT01,2,7,2,45,3
2012,45,41,146197,62684,0.0375,1.2101,0.97,PT01,2,7,3,26,4
2012,45,41,124267,74892,0.0375,1.4458,0.97,PT01,1,3,2,31,4
2012,45,41,82845,41000,0.0388,0.7915,0.97,PT07,1,3,2,27,5
2012,45,41,116470,29640,0.0375,0.5722,0.97,PT01,1,5,2,28,5
2012,45,41,117826,44824,0.0375,0.8653,0.97,PT01,1,5,1,25,5
2012,45,41,92590,25002,0.0375,0.4827,0.97,PT01,1,5,1,29,2
2012,45,41,117727,45086,0.0375,0.8704,0.97,PT07,2,5,2,32,4
2012,45,41,133536,79564,0.0375,1.536,0.97,PT01,1,5,1,32,4
2012,45,41,79434,47840,0.0375,0.9236,0.97,PT12,1,5,1,26,3
2012,45,41,81397,26000,0.035,0.5019,0.97,PT01,1,5,2,22,3
2012,45,41,201435,239970,0.035,4.6326,1.0,PT01,2,7,1,50,4
2012,45,41,119790,37956,0.035,0.7327,0.97,PT07,1,5,2,25,4
2012,45,41,106043,42000,0.035,0.8108,0.97,PT07,1,3,2,23,2
2012,45,41,127153,32240,0.035,0.6224,0.97,PT01,1,5,2,37,4
2012,45,41,54985,22756,0.035,0.4393,0.97,PT01,1,5,2,32,2
2012,45,43,116958,32940,0.0375,0.6906,0.97,PT01,2,5,1,26,3
2012,45,43,146197,46450,0.0413,0.9617,0.97,PT01,1,5,2,25,4
2012,45,43,81003,42582,0.0375,0.8816,0.97,PT01,1,5,2,25,4
2012,45,43,48112,72735,0.0363,1.5059,0.97,PT01,1,5,1,29,2
2012,45,43,136881,40963,0.0375,0.8481,1.0,PT01,1,7,1,23,2
2012,45,43,243000,60929,0.0363,1.2615,1.0,PT07,2,5,1,77,5
2012,45,43,139194,73538,0.035,1.5225,0.9,PT01,1,5,1,37,3
2012,45,43,212472,91772,0.0375,1.9,1.0,PT01,2,5,1,36,4
2012,45,45,239700,58236,0.0375,0.9871,1.02,PT01,2,7,1,28,2
2012,45,45,158100,35105,0.04,0.595,0.99,PT07,1,5,1,30,5
2012,45,45,167411,114631,0.035,1.9429,0.97,PT07,1,5,2,35,4
2012,45,51,117131,38412,0.0388,0.7074,0.97,PT01,2,5,2,29,2
2012,45,51,165203,49404,0.0388,0.8983,0.95,PT07,2,5,1,64,5
2012,45,51,80000,28068,0.04,0.5103,1.0,PT07,1,5,1,28,3
2012,45,51,88369,24461,0.0375,0.4447,0.97,PT01,1,5,2,32,2
2012,45,51,107855,24210,0.0375,0.4402,0.88,PT01,1,5,1,54,2
2012,45,51,113906,25963,0.0388,0.4721,0.9,PT07,2,5,1,66,3
2012,45,51,66373,46812,0.0375,0.8511,0.97,PT01,1,5,1,34,4
