Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2010,37,19,201534,94992,0.045,1.6046,0.9,PT01,2,5,1,42,4
2010,37,19,68225,62100,0.0438,1.0490000000000002,0.965,PT01,1,5,1,25,5
2010,37,19,280000,96912,0.0463,1.6369999999999998,1.0,PT07,2,5,1,37,4
2010,37,19,67096,19704,0.0525,0.3328,0.965,PT01,2,5,2,54,3
2010,37,129,215000,56928,0.0425,0.9616,1.0,PT07,1,5,1,34,5
2010,37,129,157774,61728,0.0463,1.0427,0.965,PT01,1,7,1,25,5
2010,37,129,112084,41952,0.0425,0.7086,0.965,PT01,2,5,1,32,3
2010,37,129,286146,176388,0.045,2.9795,0.965,PT07,2,5,1,33,4
2010,37,129,220924,96996,0.05,1.6384,0.965,PT01,1,5,1,25,4
2010,37,141,227930,59544,0.045,1.0058,0.965,PT07,1,5,1,28,3
2010,37,183,194275,46992,0.0463,0.6048,0.9383,PT07,2,5,1,36,3
2010,45,13,58479,32148,0.0375,0.6547,0.965,PT07,1,5,1,47,5
2010,45,15,403386,133740,0.045,2.1536,1.033,PT07,2,5,1,38,4
2010,45,15,183528,36000,0.0488,0.5797,0.965,PT07,1,5,1,31,3
2010,45,15,162807,62400,0.0475,1.0048,0.965,PT07,1,5,2,34,5
2010,45,15,108044,40596,0.045,0.6537,0.965,PT07,1,7,3,27,5
2010,45,15,78452,51792,0.05,0.8340000000000001,0.965,PT01,1,5,1,29,3
2010,45,15,197342,85440,0.045,1.3758,0.965,PT01,1,5,1,56,4
2010,45,15,159847,35520,0.0463,0.5720000000000001,0.965,PT01,1,5,2,25,4
2010,45,15,182000,72288,0.0513,1.1641,1.0,PT07,1,5,1,50,3
2010,45,15,132795,38028,0.0513,0.6124,1.0215,PT01,1,5,1,37,3
2010,45,15,117421,43728,0.0475,0.7042,1.0215,PT01,2,3,1,51,3
2010,45,15,150956,41076,0.0475,0.6614,0.965,PT07,1,3,2,27,4
2010,45,15,98671,39432,0.0463,0.635,0.965,PT01,1,5,1,32,2
2010,45,15,110805,44784,0.0488,0.7212,0.9,PT01,2,5,1,24,3
2010,45,15,134192,43320,0.0475,0.6976,0.965,PT01,1,5,1,30,2
2010,45,15,94674,28080,0.0425,0.4522,0.965,PT01,1,5,1,32,4
2010,45,15,111350,33996,0.0463,0.5474,0.9159,PT07,2,5,2,34,3
2010,45,15,129900,39168,0.045,0.6307,0.9898,PT01,2,3,1,63,3
2010,45,15,108538,38364,0.0425,0.6178,0.965,PT01,1,5,1,41,3
2010,45,15,184050,53748,0.0425,0.8655,0.9,PT07,2,5,1,29,3
2010,45,19,226432,84732,0.0425,1.3644,0.9649,PT01,1,5,1,30,4
2010,45,19,220000,78876,0.0438,1.2701,1.0,PT01,2,5,1,32,4
2010,45,19,120655,22872,0.045,0.3683,0.9219,PT07,1,5,2,29,4
2010,45,19,245471,61620,0.0488,0.9923,0.965,PT01,1,5,2,22,5
2010,45,19,144060,30564,0.045,0.4922,0.965,PT01,1,7,2,32,4
2010,45,19,261323,76956,0.0463,1.2392,0.965,PT07,2,5,1,40,4
2010,45,19,340000,143052,0.045,2.3036,0.9714,PT07,2,5,1,55,4
2010,45,19,117040,35400,0.0425,0.57,0.965,PT07,1,5,2,28,4
2010,45,19,304500,89772,0.045,1.4456,0.9516,PT07,2,5,1,58,5
2010,45,19,240562,57864,0.0563,0.9318,0.965,PT07,2,5,2,39,4
