Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2018,24,21,464782,146196,0.04,1.3254,1.03,PT07,1,7,2,41,4
2018,24,17,495000,156972,0.0375,1.4231,1.0,PT07,1,3,1,61,4
2018,51,59,490320,132000,0.0375,1.1967,1.03,PT07,1,2,1,27,5
2018,24,5,97206,29376,0.0375,0.3225,0.99,PT01,1,3,1,22,4
2018,24,5,157102,45792,0.0375,0.5027,0.99,PT01,1,7,2,27,2
2018,51,199,245150,69648,0.0388,0.9541,1.03,PT07,1,7,3,40,4
2018,1,33,87387,42804,0.04,0.8001,0.99,PT01,2,5,1,26,2
2018,45,67,81720,87804,0.0388,1.9129,1.03,PT04,2,3,1,48,3
2018,45,41,279837,92700,0.045,1.6038,0.99,PT01,1,3,1,42,2
2018,45,55,166666,69480,0.0375,1.037,1.0,PT01,1,5,1,29,3
2018,45,41,261182,107796,0.045,1.865,0.99,PT07,1,5,1,45,2
2018,51,117,142424,51996,0.0425,0.9755,0.97,PT01,2,7,2,30,3
2018,45,35,241722,116760,0.0375,1.6971,1.04,PT07,2,5,1,70,3
2018,24,510,122637,30156,0.0375,0.331,0.99,PT01,1,3,2,24,2
2018,24,3,409937,125004,0.0375,1.3172,0.99,PT07,1,3,1,45,5
2018,51,87,258439,70008,0.0375,0.8896,1.03,PT01,1,5,1,33,5
2018,45,15,253462,99996,0.0388,1.4534,1.04,PT07,1,5,1,35,4
2018,12,57,402500,111804,0.0375,1.8696,1.0,PT11,2,7,2,56,4
2018,21,199,309500,128484,0.0375,2.6009,1.0,PT01,2,5,2,56,5
2018,37,119,233000,149388,0.0375,2.113,1.0,PT07,1,3,1,50,4
2018,51,103,350000,185400,0.0363,2.8176,0.97,PT07,2,3,1,72,5
2018,51,139,270000,159876,0.0375,2.9995,1.0,PT01,1,3,1,53,5
2018,24,5,197849,53916,0.0375,0.5681,0.99,PT01,1,3,1,29,2
