Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2011,12,69,152000,117934,0.0488,2.0546,0.8,PT01,2,5,2,62,2
2011,12,99,264000,134988,0.0438,2.1325,0.8,PT07,2,3,1,50,4
2011,13,217,148800,42672,0.0438,0.6248,0.8,PT07,2,3,2,51,2
2011,37,183,265450,102172,0.0475,1.315,0.7999,PT07,2,5,2,51,5
2011,37,19,75144,17976,0.0413,0.2996,0.965,PT01,1,5,1,64,2
2011,37,19,302141,172956,0.0438,2.9216,0.965,PT01,2,5,1,39,2
2011,37,47,86827,28920,0.045,0.5842,1.0215,PT01,1,5,1,25,2
2011,37,47,63352,78480,0.045,1.5855,0.965,PT01,2,5,1,74,5
2011,37,119,201752,95088,0.045,1.4087,0.965,PT01,2,5,2,41,3
2011,37,129,136451,54876,0.045,0.9146,0.965,PT01,1,5,1,44,2
2011,37,129,107211,28488,0.0425,0.4748,0.965,PT01,1,5,1,35,5
2011,45,7,163530,52884,0.0463,0.9563,1.035,PT01,1,5,1,23,5
2011,45,7,83937,32892,0.0463,0.5948,1.0363,PT01,1,5,1,20,3
2011,45,7,102487,42240,0.0425,0.7638,1.0363,PT01,1,5,1,26,4
2011,45,7,111917,41772,0.0425,0.7554,1.0363,PT01,1,2,1,40,4
2011,45,13,137800,62220,0.04,1.3044,1.0215,PT07,1,5,1,54,2
2011,45,15,92920,22572,0.0438,0.3629,0.9388,PT01,1,2,2,24,2
2011,45,15,338350,122064,0.0463,1.9624,0.9437,PT01,1,5,1,33,2
2011,45,15,97465,26496,0.0463,0.426,0.965,PT07,1,5,2,23,4
2011,45,15,185183,97248,0.0438,1.5635,0.965,PT07,1,5,1,41,4
2011,45,15,78660,48648,0.0425,0.7821,1.035,PT01,2,5,1,99,3
2011,45,15,176411,82800,0.0438,1.3312,0.965,PT07,2,5,1,51,3
2011,45,15,160817,63168,0.045,1.0156,0.965,PT07,2,5,1,37,3
2011,45,15,148146,77664,0.0425,1.2486,0.965,PT07,1,5,1,26,4
2011,45,15,53605,36996,0.04,0.5948,0.965,PT01,2,5,2,41,4
2011,45,15,42884,113088,0.0425,1.8181,0.965,PT07,1,4,1,21,3
2011,45,15,48439,27216,0.0425,0.4376,0.965,PT07,1,3,1,99,2
2011,45,15,111958,43044,0.0463,0.6920000000000001,0.9648,PT01,1,7,1,30,4
2011,45,15,52722,12048,0.0425,0.1937,0.9,PT01,1,5,2,29,3
2011,45,15,141324,116352,0.0438,1.8706,0.965,PT01,2,5,2,41,5
2011,45,15,126603,35964,0.0438,0.5782,0.965,PT01,1,5,2,29,2
2011,45,19,272700,78300,0.0425,1.2588,0.9643,PT07,1,5,2,33,4
2011,45,19,76997,115850,0.045,1.8625,0.965,PT07,1,3,1,22,3
2011,45,19,116958,97212,0.0413,1.5629,0.965,PT07,1,3,2,25,4
2011,45,19,97465,36696,0.0425,0.59,0.965,PT01,1,5,1,56,4
2011,45,19,240738,91236,0.0425,1.4668,0.965,PT07,2,5,1,42,4
2011,45,19,199803,59568,0.0463,0.9577,0.965,PT07,1,5,1,31,4
2011,45,19,146197,46872,0.045,0.7536,0.965,PT07,1,5,1,29,4
2011,45,19,192980,92808,0.0425,1.4921,0.965,PT01,2,5,1,30,5
2011,45,19,285509,90456,0.0425,1.4543,1.0215,PT07,2,5,1,38,5
2011,45,19,241241,96900,0.045,1.5579,0.965,PT07,2,5,1,31,5
2011,45,19,80895,28848,0.0413,0.4638,0.965,PT01,1,5,1,25,3
2011,45,19,129628,90336,0.0438,1.4523,0.965,PT07,1,5,2,23,3
2011,45,19,156187,49392,0.0425,0.7941,0.965,PT07,2,5,1,29,4
2011,45,19,249510,868104,0.0438,13.9567,0.9609,PT01,1,5,2,24,4
2011,45,19,326507,88728,0.04,1.4265,0.965,PT07,1,5,2,28,5
2011,45,19,299000,60396,0.0438,0.9726,1.0,PT10,2,5,1,39,4
2011,45,19,146197,43680,0.04,0.7023,0.965,PT01,1,5,1,23,4
2011,45,19,300712,231312,0.045,3.7188,0.9113,PT07,2,5,1,64,5
2011,45,29,124632,41268,0.0425,0.8652,0.965,PT01,1,5,1,32,3
2011,45,35,165690,48168,0.045,0.7744,0.965,PT07,2,7,2,30,5
2011,45,35,119000,82656,0.0438,1.3289,1.0,PT07,2,5,1,50,5
2011,45,35,128606,47604,0.045,0.7653,1.0215,PT01,1,5,1,70,4
2011,45,35,127000,43284,0.0413,0.6959,1.0,PT01,1,5,1,62,2
2011,45,41,157900,51216,0.0425,1.0023,1.0,PT01,2,3,1,30,2
2011,45,43,190056,118764,0.0425,2.4898,0.965,PT01,2,7,1,30,3
2011,45,43,128653,58200,0.0425,1.2201,0.965,PT01,1,5,2,54,2
2011,45,43,100388,37356,0.0425,0.7831,0.965,PT01,1,5,1,25,3
2011,45,43,151500,33804,0.04,0.7087,0.7692,PT01,2,5,2,63,4
2011,45,43,113546,37320,0.0425,0.7824,0.965,PT01,1,5,1,36,5
2011,45,43,122805,48456,0.045,1.0158,0.965,PT01,1,5,1,26,4
2011,45,51,158317,46788,0.0438,0.8617,0.95,PT01,1,5,1,23,4
2011,45,51,132692,49596,0.0425,0.9134,1.0215,PT07,1,5,1,28,4
2011,45,51,91617,28068,0.045,0.5169,0.965,PT07,1,5,1,22,4
2011,45,51,97042,30948,0.045,0.5699,1.0215,PT01,2,5,1,72,4
2011,45,73,249900,63468,0.0413,1.3306,1.02,PT01,1,5,1,99,4
2011,45,77,151500,37644,0.0425,0.6457,0.9554,PT01,1,5,2,41,2
2011,51,23,160621,54132,0.0425,0.8675,1.0363,PT01,1,5,1,27,2
2011,51,161,114387,27552,0.04,0.4415,1.0641,PT01,1,5,1,29,3
2011,51,163,171502,61872,0.0488,1.1921,1.0426,PT01,1,5,2,25,4
2011,51,173,79790,31056,0.0488,0.5984,1.0362,PT01,1,5,2,27,5
2011,51,173,75645,27648,0.0488,0.5327,1.0362,PT01,1,5,1,32,4
2011,45,63,280000,111768,0.045,1.7574,0.8,PT01,2,5,1,36,5
