Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2016,47,35,125750,39264,0.0338,0.8536,1.0,PT01,1,1,2,70,4
2016,37,67,400000,125688,0.035,2.0272,0.89,PT07,2,5,1,58,4
2016,12,57,405000,71916,0.0363,1.2751,0.9,PT01,2,7,1,39,5
2016,13,121,404000,235680,0.0325,3.4009,1.0,PT11,2,5,1,44,4
2016,12,113,193050,66408,0.0338,1.1218,1.03,PT01,1,5,1,32,5
2016,12,57,240000,94512,0.0363,1.6757,1.0,PT07,1,5,1,70,5
2016,51,680,187900,101700,0.0275,1.6922,1.0,PT07,2,5,1,46,5
2016,24,3,288982,62484,0.0375,0.73,1.03,PT01,1,5,2,24,4
2016,47,125,417000,146676,0.04,2.7062,0.95,PT07,2,5,1,73,5
2016,37,129,269793,137004,0.0375,2.2534,1.04,PT07,2,5,1,32,5
2016,24,13,273350,109800,0.0338,1.2827,0.79,PT01,2,7,3,41,5
2016,12,71,255550,97596,0.035,1.7122,0.95,PT07,2,3,1,54,5
2016,37,85,266500,127944,0.0363,2.5487,1.04,PT07,2,5,1,68,5
2016,24,21,380000,92232,0.0325,0.8133,0.99,PT01,2,3,1,61,5
2016,12,19,194200,160308,0.0363,2.382,1.04,PT07,2,5,1,47,5
2016,51,95,382000,158292,0.0338,2.2326,1.0,PT07,2,3,2,50,3
2016,37,183,210000,155292,0.0338,1.9436,0.43,PT07,2,2,2,49,4
2016,37,29,194050,60168,0.035,1.1986,1.03,PT07,1,5,1,33,5
2016,24,510,199350,82236,0.0338,0.9607,1.04,PT01,2,5,1,35,4
2016,45,13,200000,127380,0.035,2.6373,1.0,PT07,2,5,1,57,5
2016,47,93,417000,102072,0.035,1.641,0.99,PT07,1,5,1,42,5
2016,37,21,190000,80412,0.035,1.3769,0.87,PT07,2,7,2,61,4
2016,24,17,275000,99948,0.035,0.9456,1.0,PT01,2,3,1,60,5
2016,12,81,416000,285696,0.0288,4.7695,0.77,PT07,2,5,1,53,5
2016,12,81,417000,234396,0.0275,3.9131,0.76,PT01,2,7,1,51,5
2016,24,5,258146,94116,0.0288,1.0995,1.04,PT01,2,5,2,52,5
2016,37,57,101690,61884,0.035,1.2327,1.0,PT07,1,3,1,25,4
2016,12,103,168000,50448,0.0325,0.8945,1.0,PT01,2,5,1,61,5
2016,37,51,132224,209448,0.0363,3.9743,1.03,PT07,2,3,1,42,5
2016,13,145,410101,128268,0.0325,2.4525,1.04,PT07,1,7,2,54,5
2016,47,165,395000,89928,0.0325,1.3402,1.0,PT01,1,5,1,64,5
2016,12,113,250000,224184,0.0363,3.7869,1.0,PT01,1,5,1,49,5
2016,12,95,373000,118248,0.035,2.0318,1.0,PT01,2,5,1,56,4
2016,13,31,205400,105480,0.0325,2.3336,1.0,PT07,2,5,1,45,5
2016,13,185,165000,172908,0.035,3.397,0.74,PT01,2,5,1,52,5
2016,37,183,417000,119208,0.0325,1.492,0.84,PT07,2,5,1,63,5
2016,47,9,189900,40452,0.0338,0.6504,1.0,PT01,2,5,1,44,5
2016,54,77,143750,138756,0.0325,2.4515,0.56,PT07,2,5,1,49,4
2016,12,69,252000,128868,0.035,2.2142,1.0,PT07,2,5,1,50,5
2016,24,17,279000,99624,0.0338,0.9425,1.0,PT01,2,7,1,55,5
2016,13,135,284000,104076,0.0338,1.5018,1.01,PT07,1,7,1,61,5
2016,24,3,372800,166356,0.035,1.9434,1.03,PT01,1,1,2,25,4
2016,24,510,275803,70008,0.035,0.8179,1.03,PT01,1,7,3,23,4
2016,28,151,80000,37764,0.0363,0.8949,1.0,PT01,2,5,1,68,5
2016,54,37,223708,57780,0.035,0.5466,1.03,PT07,1,5,1,45,3
2016,51,59,385105,132396,0.0338,1.2526,1.03,PT01,1,7,1,28,5
2016,45,83,201033,60192,0.035,1.0579,0.98,PT07,2,5,1,73,5
2016,12,131,170000,89196,0.0338,1.9433,0.37,PT07,2,5,1,68,5
2016,51,153,387350,143820,0.035,1.3606,1.04,PT07,2,5,1,53,4
2016,47,125,131750,60924,0.0338,1.1241,1.0,PT01,1,3,2,29,4
2016,37,119,243000,69300,0.035,1.0117,1.0,PT01,1,7,1,53,5
2016,12,117,180000,59340,0.0338,1.0196,1.0,PT01,1,7,3,22,4
2016,12,5,365000,264864,0.0325,4.5431,1.0,PT07,2,5,1,56,4
2016,12,9,218295,59328,0.0363,1.0124,0.81,PT01,2,5,1,63,5
2016,1,51,280000,55068,0.0325,0.9163,0.85,PT07,2,3,1,63,4
2016,12,109,130000,131304,0.0363,1.951,0.57,PT01,2,5,2,53,5
2016,47,65,119000,64692,0.035,1.1192,0.8,PT01,1,5,1,43,4
2016,13,89,180000,83520,0.0363,1.2052,1.0,PT07,2,3,2,42,5
2016,12,71,175500,48000,0.0325,0.8421,1.0,PT07,1,5,2,31,5
