Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2009,21,37,143920,77513,0.0538,1.1201,0.8,PT01,2,5,1,50,5
2009,54,81,90816,58240,0.055,1.4169999999999998,1.02,PT01,1,5,1,28,2
2009,54,55,89760,46410,0.05,1.1292,1.0029,PT01,1,5,1,22,4
2009,54,81,103200,35000,0.0525,0.8516,0.8,PT01,1,5,2,24,4
2009,54,49,70000,21348,0.0513,0.5194,0.5738,PT01,2,5,3,67,5
2009,54,55,122210,38000,0.0513,0.9246,0.9968,PT01,1,5,1,23,4
2009,54,81,86734,1040808,0.0525,25.3238,1.0204,PT01,1,5,1,29,3
2009,21,15,124000,80400,0.0475,1.2145,0.64,PT01,2,5,1,51,5
2009,54,67,75480,34000,0.0688,0.8273,1.02,PT01,1,5,1,27,4
2009,54,81,68367,33306,0.0525,0.8104,0.9766,PT01,1,5,1,23,3
2009,51,95,255200,73434,0.0575,1.128,0.8,PT01,2,3,2,73,2
2009,51,119,90333,32240,0.05,0.6372,0.965,PT12,1,5,2,46,4
2009,12,115,94261,40000,0.0488,0.6711,0.99,PT02,1,7,1,26,4
2009,21,137,128000,86710,0.05,2.0499,0.8,PT01,2,5,1,67,5
2009,12,57,81397,34675,0.055,0.6137,0.99,PT01,1,5,1,57,2
2009,54,55,53040,19219,0.0525,0.4676,1.02,PT01,1,5,2,23,1
2009,51,710,458850,750252,0.055,11.5246,0.5244,PT01,2,5,1,36,5
2009,54,89,107100,45968,0.0525,1.1184,1.02,PT01,1,5,1,23,2
2009,54,39,280000,404580,0.055,7.6336,0.8,PT01,2,5,1,34,4
2009,45,15,148046,35160,0.0525,0.6021,0.97,PT01,2,5,1,31,3
2009,45,19,220924,45648,0.045,0.7816,0.965,PT01,1,5,2,25,5
2009,45,35,126332,56364,0.0513,0.9651,0.97,PT01,2,5,1,27,4
2009,45,19,238598,78516,0.0575,1.3445,0.965,PT01,2,5,1,30,2
2009,47,125,124000,126103,0.0488,2.3838,0.8,PT01,2,5,2,30,5
2009,12,81,356425,196447,0.0525,3.2961,0.99,PT02,2,5,1,40,4
2009,12,57,176739,60180,0.05,1.0651,0.99,PT02,1,5,1,34,4
2009,21,101,129600,103116,0.05,1.6932,0.8,PT01,2,5,1,51,5
2009,21,111,87200,61913,0.0563,1.0067,0.8,PT01,2,5,2,52,4
2009,21,161,33000,14952,0.0525,0.3535,0.42,PT02,2,5,2,62,5
2009,21,15,140000,129227,0.0475,1.8674,0.8,PT01,2,5,2,49,4
2009,12,115,338827,132576,0.0488,2.2244,0.92,PT02,2,5,1,61,5
2009,45,13,229761,67920,0.0513,1.4033,0.99,PT02,1,5,1,29,4
2009,21,111,68400,35940,0.05,0.5844,0.95,PT01,2,3,1,50,3
2009,12,107,82568,42168,0.055,0.903,0.72,PT12,1,5,1,61,5
2009,21,65,51900,35256,0.05,0.8335,0.8,PT01,1,5,2,23,4
2009,45,15,150228,50184,0.0525,0.8593,0.965,PT06,2,3,1,21,2
2009,45,15,121286,60312,0.0463,1.0327,0.883,PT06,2,5,1,57,5
2009,21,151,172000,96815,0.0513,2.2888,0.8,PT01,2,5,1,36,5
2009,47,125,240000,107434,0.0525,2.0309,0.8,PT01,2,5,1,49,4
2009,21,117,115500,123588,0.0538,1.786,0.7,PT01,2,5,1,52,5
2009,45,35,181603,94992,0.055,1.6266,0.987,PT06,2,5,1,47,5
2009,21,67,113960,47976,0.05,0.7381,0.88,PT01,1,5,1,24,2
2009,21,117,106400,106908,0.0488,1.6149,0.95,PT01,2,5,1,53,5
2009,21,37,116000,39456,0.0538,0.596,0.8,PT01,2,5,1,24,4
2009,54,33,244000,229622,0.0513,5.3277,0.8,PT01,2,5,1,44,4
2009,21,37,130812,45780,0.055,0.6915,0.8,PT06,2,5,2,26,4
